Model,Attribute,Metric,VFR_sym,VFR_dir
Logistic Regression,RACE,DI,0.008,0.008
Logistic Regression,RACE,SPD,0.008,0.008
Logistic Regression,RACE,EOPP,0.19,0.19
Logistic Regression,RACE,EOD,0.072,0.072
Logistic Regression,RACE,TI,0.0,0.0
Logistic Regression,RACE,PP,0.334,0.334
Logistic Regression,RACE,CAL,0.428,0.428
Logistic Regression,SEX,DI,0.0,0.0
Logistic Regression,SEX,SPD,0.0,0.0
Logistic Regression,SEX,EOPP,0.166,-0.16600000000000004
Logistic Regression,SEX,EOD,0.01,0.01
Logistic Regression,SEX,TI,0.0,0.0
Logistic Regression,SEX,PP,0.0,0.0
Logistic Regression,SEX,CAL,0.0,0.0
Logistic Regression,ETHNICITY,DI,0.034,0.034
Logistic Regression,ETHNICITY,SPD,0.132,0.132
Logistic Regression,ETHNICITY,EOPP,0.018,-0.018000000000000016
Logistic Regression,ETHNICITY,EOD,0.02,-0.020000000000000018
Logistic Regression,ETHNICITY,TI,0.0,0.0
Logistic Regression,ETHNICITY,PP,0.0,0.0
Logistic Regression,ETHNICITY,CAL,0.0,0.0
Logistic Regression,AGE_GROUP,DI,0.0,0.0
Logistic Regression,AGE_GROUP,SPD,0.0,0.0
Logistic Regression,AGE_GROUP,EOPP,0.0,0.0
Logistic Regression,AGE_GROUP,EOD,0.0,0.0
Logistic Regression,AGE_GROUP,TI,0.0,0.0
Logistic Regression,AGE_GROUP,PP,0.292,-0.29200000000000004
Logistic Regression,AGE_GROUP,CAL,0.338,-0.33799999999999997
Decision Tree,RACE,DI,0.018,0.018
Decision Tree,RACE,SPD,0.028,0.028
Decision Tree,RACE,EOPP,0.272,0.272
Decision Tree,RACE,EOD,0.208,0.208
Decision Tree,RACE,TI,0.0,0.0
Decision Tree,RACE,PP,0.422,0.422
Decision Tree,RACE,CAL,0.062,-0.062000000000000055
Decision Tree,SEX,DI,0.0,0.0
Decision Tree,SEX,SPD,0.002,0.002
Decision Tree,SEX,EOPP,0.0,0.0
Decision Tree,SEX,EOD,0.0,0.0
Decision Tree,SEX,TI,0.0,0.0
Decision Tree,SEX,PP,0.0,0.0
Decision Tree,SEX,CAL,0.0,0.0
Decision Tree,ETHNICITY,DI,0.162,-0.16200000000000003
Decision Tree,ETHNICITY,SPD,0.022,-0.02200000000000002
Decision Tree,ETHNICITY,EOPP,0.0,0.0
Decision Tree,ETHNICITY,EOD,0.0,0.0
Decision Tree,ETHNICITY,TI,0.0,0.0
Decision Tree,ETHNICITY,PP,0.0,0.0
Decision Tree,ETHNICITY,CAL,0.0,0.0
Decision Tree,AGE_GROUP,DI,0.0,0.0
Decision Tree,AGE_GROUP,SPD,0.0,0.0
Decision Tree,AGE_GROUP,EOPP,0.0,0.0
Decision Tree,AGE_GROUP,EOD,0.0,0.0
Decision Tree,AGE_GROUP,TI,0.0,0.0
Decision Tree,AGE_GROUP,PP,0.394,0.394
Decision Tree,AGE_GROUP,CAL,0.036,-0.03600000000000003
Random Forest,RACE,DI,0.022,0.022
Random Forest,RACE,SPD,0.024,0.024
Random Forest,RACE,EOPP,0.332,0.332
Random Forest,RACE,EOD,0.256,0.256
Random Forest,RACE,TI,0.0,0.0
Random Forest,RACE,PP,0.408,0.408
Random Forest,RACE,CAL,0.318,-0.31799999999999995
Random Forest,SEX,DI,0.0,0.0
Random Forest,SEX,SPD,0.0,0.0
Random Forest,SEX,EOPP,0.0,0.0
Random Forest,SEX,EOD,0.0,0.0
Random Forest,SEX,TI,0.0,0.0
Random Forest,SEX,PP,0.0,0.0
Random Forest,SEX,CAL,0.0,0.0
Random Forest,ETHNICITY,DI,0.326,-0.32599999999999996
Random Forest,ETHNICITY,SPD,0.088,-0.08799999999999997
Random Forest,ETHNICITY,EOPP,0.0,0.0
Random Forest,ETHNICITY,EOD,0.0,0.0
Random Forest,ETHNICITY,TI,0.0,0.0
Random Forest,ETHNICITY,PP,0.0,0.0
Random Forest,ETHNICITY,CAL,0.002,-0.0020000000000000018
