metric,attribute,N,mean_metric,sd_metric,CV
DI,RACE,1000,0.557169,0.232195,0.416742
DI,RACE,2000,0.629062,0.151858,0.241404
DI,RACE,5000,0.750877,0.08292,0.110431
DI,RACE,10000,0.771407,0.066389,0.086063
DI,RACE,25000,0.800429,0.056906,0.071095
DI,RACE,50000,0.818751,0.034826,0.042535
DI,RACE,100000,0.816719,0.021799,0.026691
DI,RACE,185026,0.82553,0.0,0.0
SPD,RACE,1000,0.323017,0.169362,0.524311
SPD,RACE,2000,0.233088,0.083372,0.357684
SPD,RACE,5000,0.169533,0.063652,0.375456
SPD,RACE,10000,0.145857,0.048081,0.329646
SPD,RACE,25000,0.126192,0.026796,0.212344
SPD,RACE,50000,0.114451,0.019643,0.171625
SPD,RACE,100000,0.109179,0.013364,0.122409
SPD,RACE,185026,0.10864,0.0,0.0
EOPP,RACE,1000,0.114963,0.041324,0.359451
EOPP,RACE,2000,0.117856,0.03355,0.284671
EOPP,RACE,5000,0.116893,0.040076,0.342843
EOPP,RACE,10000,0.090048,0.02649,0.294175
EOPP,RACE,25000,0.061949,0.027072,0.437006
EOPP,RACE,50000,0.059234,0.020943,0.35357
EOPP,RACE,100000,0.058231,0.008357,0.143521
EOPP,RACE,185026,0.056613,0.0,0.0
EOD,RACE,1000,0.354846,0.209205,0.589564
EOD,RACE,2000,0.270364,0.169618,0.627371
EOD,RACE,5000,0.177324,0.113219,0.638483
EOD,RACE,10000,0.150441,0.059862,0.397909
EOD,RACE,25000,0.096727,0.039289,0.406185
EOD,RACE,50000,0.088558,0.02002,0.226067
EOD,RACE,100000,0.071123,0.012755,0.179343
EOD,RACE,185026,0.062927,0.0,0.0
TI,RACE,1000,0.049129,0.082648,1.682259
TI,RACE,2000,0.022803,0.043133,1.891585
TI,RACE,5000,0.005706,0.004755,0.83335
TI,RACE,10000,0.005245,0.004188,0.798501
TI,RACE,25000,0.003225,0.001607,0.49824
TI,RACE,50000,0.002932,0.001035,0.353069
TI,RACE,100000,0.002714,0.000534,0.196781
TI,RACE,185026,0.002523,0.0,0.0
PP,RACE,1000,0.401842,0.22871,0.569154
PP,RACE,2000,0.290675,0.150599,0.518102
PP,RACE,5000,0.24894,0.121037,0.48621
PP,RACE,10000,0.185192,0.07738,0.417834
PP,RACE,25000,0.16333,0.058211,0.356399
PP,RACE,50000,0.167659,0.050378,0.300479
PP,RACE,100000,0.164687,0.016146,0.098038
PP,RACE,185026,0.16536,0.0,0.0
CAL,RACE,1000,0.129222,0.120711,0.934133
CAL,RACE,2000,0.104867,0.066918,0.638127
CAL,RACE,5000,0.064645,0.035585,0.550468
CAL,RACE,10000,0.049747,0.027439,0.551573
CAL,RACE,25000,0.029027,0.015571,0.536427
CAL,RACE,50000,0.021742,0.008384,0.385599
CAL,RACE,100000,0.021831,0.008015,0.367156
CAL,RACE,185026,0.020765,0.0,0.0
DI,SEX,1000,0.862239,0.048317,0.056036
DI,SEX,2000,0.885272,0.035879,0.040529
DI,SEX,5000,0.880955,0.017868,0.020282
DI,SEX,10000,0.870912,0.016738,0.019219
DI,SEX,25000,0.875222,0.009151,0.010456
DI,SEX,50000,0.875192,0.005336,0.006097
DI,SEX,100000,0.873545,0.003826,0.004379
DI,SEX,185026,0.874174,0.0,0.0
SPD,SEX,1000,0.078679,0.029077,0.369559
SPD,SEX,2000,0.075007,0.025573,0.340949
SPD,SEX,5000,0.075633,0.013944,0.184365
SPD,SEX,10000,0.076337,0.010245,0.134213
SPD,SEX,25000,0.075582,0.005532,0.073197
SPD,SEX,50000,0.07492,0.003576,0.047735
SPD,SEX,100000,0.074624,0.002311,0.030971
SPD,SEX,185026,0.074812,0.0,0.0
EOPP,SEX,1000,0.020699,0.017954,0.867413
EOPP,SEX,2000,0.01538,0.013234,0.860493
EOPP,SEX,5000,0.010026,0.007578,0.755845
EOPP,SEX,10000,0.007829,0.006245,0.797584
EOPP,SEX,25000,0.006726,0.004807,0.714687
EOPP,SEX,50000,0.006879,0.003463,0.503447
EOPP,SEX,100000,0.006266,0.002267,0.361851
EOPP,SEX,185026,0.006095,0.0,0.0
EOD,SEX,1000,0.040117,0.021475,0.535297
EOD,SEX,2000,0.028843,0.01262,0.437534
EOD,SEX,5000,0.01806,0.01154,0.638937
EOD,SEX,10000,0.013045,0.006438,0.493529
EOD,SEX,25000,0.00933,0.004948,0.530364
EOD,SEX,50000,0.006788,0.002546,0.375087
EOD,SEX,100000,0.006762,0.00211,0.311998
EOD,SEX,185026,0.006095,0.0,0.0
TI,SEX,1000,0.003041,0.001976,0.649869
TI,SEX,2000,0.002538,0.001314,0.517724
TI,SEX,5000,0.002222,0.000756,0.340263
TI,SEX,10000,0.00221,0.000756,0.342166
TI,SEX,25000,0.00229,0.000324,0.141589
TI,SEX,50000,0.002224,0.000219,0.098668
TI,SEX,100000,0.002277,9.4e-05,0.041147
TI,SEX,185026,0.002255,0.0,0.0
PP,SEX,1000,0.081447,0.037618,0.461866
PP,SEX,2000,0.085278,0.018636,0.218534
PP,SEX,5000,0.078414,0.013958,0.17801
PP,SEX,10000,0.082458,0.00872,0.105746
PP,SEX,25000,0.08249,0.008583,0.104046
PP,SEX,50000,0.081545,0.004431,0.054342
PP,SEX,100000,0.082467,0.002621,0.031787
PP,SEX,185026,0.081698,0.0,0.0
CAL,SEX,1000,0.019464,0.008374,0.430243
CAL,SEX,2000,0.01232,0.006628,0.537988
CAL,SEX,5000,0.009438,0.003892,0.412367
CAL,SEX,10000,0.007485,0.003969,0.530244
CAL,SEX,25000,0.007884,0.003103,0.393551
CAL,SEX,50000,0.007456,0.002015,0.270238
CAL,SEX,100000,0.007338,0.001043,0.142192
CAL,SEX,185026,0.007406,0.0,0.0
DI,ETHNICITY,1000,0.925278,0.054999,0.05944
DI,ETHNICITY,2000,0.936483,0.030548,0.03262
DI,ETHNICITY,5000,0.944774,0.026543,0.028094
DI,ETHNICITY,10000,0.946328,0.021765,0.022999
DI,ETHNICITY,25000,0.942808,0.011326,0.012013
DI,ETHNICITY,50000,0.945134,0.008987,0.009509
DI,ETHNICITY,100000,0.944159,0.004187,0.004435
DI,ETHNICITY,185026,0.943753,0.0,0.0
SPD,ETHNICITY,1000,0.040848,0.028157,0.689315
SPD,ETHNICITY,2000,0.037579,0.019173,0.510194
SPD,ETHNICITY,5000,0.027183,0.015936,0.586225
SPD,ETHNICITY,10000,0.031356,0.008865,0.282705
