metric,attribute,fold,metric_value,verdict
DI,RACE,0,0.54841,Fail
DI,RACE,1,0.370725,Fail
DI,RACE,2,0.765368,Fail
DI,RACE,3,0.49723,Fail
DI,RACE,4,0.70498,Fail
DI,RACE,5,0.513369,Fail
DI,RACE,6,0.528792,Fail
DI,RACE,7,0.676056,Fail
DI,RACE,8,0.846564,Pass
DI,RACE,9,0.693292,Fail
DI,RACE,10,0.695946,Fail
DI,RACE,11,0.686989,Fail
DI,RACE,12,0.247249,Fail
DI,RACE,13,0.816029,Pass
DI,RACE,14,0.717718,Fail
DI,RACE,15,0.70071,Fail
DI,RACE,16,0.424658,Fail
DI,RACE,17,0.0,Fail
DI,RACE,18,0.793559,Fail
DI,RACE,19,0.726686,Fail
SPD,RACE,0,0.45159,Fail
SPD,RACE,1,0.412886,Fail
SPD,RACE,2,0.151821,Fail
SPD,RACE,3,0.50277,Fail
SPD,RACE,4,0.183085,Fail
SPD,RACE,5,0.486631,Fail
SPD,RACE,6,0.297035,Fail
SPD,RACE,7,0.269953,Fail
SPD,RACE,8,0.093357,Pass
SPD,RACE,9,0.189839,Fail
SPD,RACE,10,0.201436,Fail
SPD,RACE,11,0.198819,Fail
SPD,RACE,12,0.480711,Fail
SPD,RACE,13,0.128827,Fail
SPD,RACE,14,0.176426,Fail
SPD,RACE,15,0.190457,Fail
SPD,RACE,16,0.575342,Fail
SPD,RACE,17,0.608807,Fail
SPD,RACE,18,0.104058,Fail
SPD,RACE,19,0.172307,Fail
EOPP,RACE,0,0.095238,Pass
EOPP,RACE,1,0.084071,Pass
EOPP,RACE,2,0.146341,Fail
EOPP,RACE,3,0.116429,Fail
EOPP,RACE,4,0.07931,Pass
EOPP,RACE,5,0.099961,Pass
EOPP,RACE,6,0.046721,Pass
EOPP,RACE,7,0.068288,Pass
EOPP,RACE,8,0.024063,Pass
EOPP,RACE,9,0.099152,Pass
EOPP,RACE,10,0.082821,Pass
EOPP,RACE,11,0.050294,Pass
EOPP,RACE,12,0.086957,Pass
EOPP,RACE,13,0.076923,Pass
EOPP,RACE,14,0.110883,Fail
EOPP,RACE,15,0.096647,Pass
EOPP,RACE,16,0.11396,Fail
EOPP,RACE,17,0.027935,Pass
EOPP,RACE,18,0.100382,Fail
EOPP,RACE,19,0.087719,Pass
EOD,RACE,0,0.153295,Fail
EOD,RACE,1,0.10274,Fail
EOD,RACE,2,0.25565,Fail
EOD,RACE,3,0.116429,Fail
EOD,RACE,4,0.07931,Pass
EOD,RACE,5,0.142211,Fail
EOD,RACE,6,0.098458,Pass
EOD,RACE,7,0.352941,Fail
EOD,RACE,8,0.079574,Pass
EOD,RACE,9,0.283019,Fail
EOD,RACE,10,0.249737,Fail
EOD,RACE,11,0.188708,Fail
EOD,RACE,12,0.263699,Fail
EOD,RACE,13,0.098297,Pass
EOD,RACE,14,0.189474,Fail
EOD,RACE,15,0.174028,Fail
EOD,RACE,16,0.11396,Fail
EOD,RACE,17,0.318881,Fail
EOD,RACE,18,0.100382,Fail
EOD,RACE,19,0.199609,Fail
TI,RACE,0,0.027296,Pass
TI,RACE,1,0.047026,Pass
TI,RACE,2,0.004277,Pass
TI,RACE,3,0.036369,Pass
TI,RACE,4,0.00697,Pass
TI,RACE,5,0.035096,Pass
TI,RACE,6,0.019554,Pass
TI,RACE,7,0.011037,Pass
TI,RACE,8,0.001806,Pass
TI,RACE,9,0.006839,Pass
TI,RACE,10,0.009532,Pass
TI,RACE,11,0.009463,Pass
TI,RACE,12,0.076933,Pass
TI,RACE,13,0.002552,Pass
TI,RACE,14,0.006955,Pass
TI,RACE,15,0.008946,Pass
TI,RACE,16,0.047424,Pass
TI,RACE,17,0.22748,Fail
TI,RACE,18,0.004031,Pass
TI,RACE,19,0.006401,Pass
PP,RACE,0,0.303167,Fail
PP,RACE,1,0.485742,Fail
PP,RACE,2,0.352804,Fail
PP,RACE,3,0.351852,Fail
PP,RACE,4,0.26671,Fail
PP,RACE,5,0.299425,Fail
PP,RACE,6,0.817518,Fail
PP,RACE,7,0.131161,Fail
PP,RACE,8,0.050165,Pass
PP,RACE,9,0.294643,Fail
PP,RACE,10,0.199581,Fail
PP,RACE,11,0.142812,Fail
PP,RACE,12,0.09697,Pass
PP,RACE,13,0.202586,Fail
PP,RACE,14,0.183002,Fail
PP,RACE,15,0.244755,Fail
