Attribute,Group,N,Std_TP,Std_FP,Std_FN,Std_TN,Fair_TP,Fair_FP,Fair_FN,Fair_TN,d_FP,d_FN
RACE,0,712,180,38,51,443,190,63,41,418,25,-10
RACE,1,3291,1133,181,206,1771,1113,216,226,1736,35,20
RACE,2,23161,10284,1315,1829,9733,9626,1122,2487,9926,-193,658
RACE,3,120761,46037,7500,8585,58639,44349,7477,10273,58662,-23,1688
RACE,4,37101,12411,1943,2630,20117,12150,2278,2891,19782,335,261
SEX,0,67853,30506,4757,4741,27849,28674,3455,6573,29151,-1302,1832
SEX,1,117173,39539,6220,8560,62854,38754,7701,9345,61373,1481,785
ETHNICITY,0,50674,16577,2632,3619,27846,16473,3325,3723,27153,693,104
ETHNICITY,1,134352,53468,8345,9682,62857,50955,7831,12195,63371,-514,2513
AGE_GROUP,0,7723,2574,307,507,4335,2703,458,378,4184,151,-129
AGE_GROUP,1,41771,5788,1219,2837,31927,7208,3642,1417,29504,2423,-1420
AGE_GROUP,2,56244,18761,3363,4765,29355,19380,4162,4146,28556,799,-619
AGE_GROUP,3,79288,42922,6088,5192,25086,38137,2894,9977,28280,-3194,4785
