Model,AUROC,Acc_before,Acc_after,Acc_cost,F1_before,F1_after,DI_before,DI_after,SPD_before,SPD_after,EOPP_before,EOPP_after,EOD_before,EOD_after,TI_before,TI_after,PP_before,PP_after,CAL_before,CAL_after,DI_RACE_before,DI_RACE_after,DI_SEX_before,DI_SEX_after,DI_ETHNICITY_before,DI_ETHNICITY_after,DI_AGE_GROUP_before,DI_AGE_GROUP_after
Logistic Regression,0.8639,0.7821,0.7824,-0.0003,0.7492,0.7504,0.1552,0.1579,0.5291,0.53,0.4453,0.4424,0.4453,0.4424,0.1791,0.1757,0.1706,0.1895,0.069,0.069,0.6685,0.8232,0.6834,0.6843,0.7502,0.7687,0.1552,0.1579
Decision Tree,0.9202,0.8397,0.8393,0.0004,0.8164,0.817,0.2699,0.2756,0.4342,0.4341,0.2519,0.2465,0.2519,0.2465,0.089,0.0864,0.0987,0.2084,0.0289,0.0289,0.6087,0.8202,0.7423,0.7446,0.8255,0.8558,0.2699,0.2756
Random Forest,0.9263,0.8437,0.8435,0.0002,0.8223,0.8231,0.2184,0.223,0.4876,0.4885,0.3384,0.3316,0.3384,0.3316,0.1137,0.1106,0.0625,0.2012,0.027,0.027,0.581,0.8296,0.7302,0.73,0.7982,0.827,0.2184,0.223
Gradient Boosting,0.9346,0.854,0.8536,0.0005,0.8352,0.8357,0.2472,0.2537,0.4682,0.4679,0.2768,0.2678,0.2768,0.2678,0.0994,0.0961,0.0635,0.2118,0.0275,0.0275,0.5988,0.8219,0.7405,0.7413,0.8134,0.843,0.2472,0.2537
AdaBoost,0.8972,0.8143,0.8133,0.001,0.7936,0.7938,0.2268,0.2339,0.4937,0.493,0.3503,0.3435,0.3503,0.3435,0.1092,0.1053,0.1505,0.2488,0.1888,0.1888,0.654,0.8317,0.6927,0.6934,0.777,0.8085,0.2268,0.2339
XGBoost,0.9532,0.8783,0.878,0.0004,0.8636,0.864,0.2969,0.3029,0.4313,0.4311,0.1758,0.168,0.1758,0.168,0.078,0.0757,0.0697,0.1731,0.0208,0.0208,0.6395,0.8209,0.7635,0.7648,0.8278,0.8585,0.2969,0.3029
LightGBM,0.9397,0.8597,0.8589,0.0007,0.8419,0.8422,0.2556,0.2636,0.4626,0.462,0.2573,0.2466,0.2573,0.2466,0.0955,0.0917,0.0617,0.1954,0.0282,0.0282,0.5999,0.8244,0.7456,0.7473,0.8199,0.8559,0.2556,0.2636
CatBoost,0.9369,0.8569,0.8565,0.0004,0.8383,0.8389,0.2482,0.2548,0.4666,0.4664,0.2742,0.265,0.2742,0.265,0.0988,0.0956,0.0708,0.207,0.0257,0.0257,0.5812,0.8225,0.7408,0.7425,0.8166,0.8485,0.2482,0.2548
HistGradient Boosting,0.9418,0.8618,0.8616,0.0002,0.8443,0.845,0.2618,0.2682,0.4574,0.4571,0.243,0.2332,0.243,0.2332,0.0924,0.0895,0.0618,0.1871,0.0295,0.0295,0.6064,0.8226,0.7489,0.7513,0.8208,0.8497,0.2618,0.2682
Bagging,0.9355,0.8585,0.8579,0.0005,0.8431,0.8436,0.2986,0.306,0.4395,0.4384,0.1927,0.1834,0.1927,0.1834,0.0778,0.0748,0.1076,0.187,0.0262,0.0262,0.6616,0.8311,0.7628,0.7642,0.8298,0.863,0.2986,0.306
Extra Trees,0.8726,0.7856,0.7847,0.0009,0.7639,0.7653,0.1593,0.1645,0.5847,0.5882,0.4944,0.4897,0.4944,0.4897,0.1688,0.1618,0.1269,0.1954,0.0419,0.0419,0.5985,0.8315,0.7298,0.727,0.7638,0.8105,0.1593,0.1645
Stacking Ensemble,0.9429,0.8638,0.8633,0.0005,0.847,0.8474,0.2726,0.2803,0.4511,0.4497,0.2263,0.2138,0.2263,0.2138,0.0882,0.0848,0.0807,0.1856,0.0258,0.0258,0.632,0.8228,0.7525,0.7544,0.8248,0.8557,0.2726,0.2803
