metric,attribute,n_pass,pass_rate,pass_rate_CI_low,pass_rate_CI_high,vfr,metric_mean,metric_sd,metric_CI_low,metric_CI_high,metric_CI_crosses_threshold,verdict_VFR_stable_le010,verdict_dominant
DI,RACE,262,0.524,0.48,0.567,0.476,0.6192,0.1239,0.3764,0.862,True,False,fair
SPD,RACE,265,0.53,0.486,0.573,0.47,,,,,False,False,fair
EOPP,RACE,187,0.374,0.333,0.417,0.374,0.1144,0.0666,-0.0161,0.2449,True,False,unfair
EOD,RACE,82,0.164,0.134,0.199,0.164,,,,,False,False,unfair
TI,RACE,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
PP,RACE,14,0.028,0.017,0.046,0.028,,,,,False,True,unfair
CAL,RACE,0,0.0,0.0,0.008,0.0,,,,,False,True,unfair
DI,SEX,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
SPD,SEX,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
EOPP,SEX,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
EOD,SEX,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
TI,SEX,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
PP,SEX,10,0.02,0.011,0.036,0.02,,,,,False,True,unfair
CAL,SEX,29,0.058,0.041,0.082,0.058,,,,,False,True,unfair
DI,ETHNICITY,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
SPD,ETHNICITY,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
EOPP,ETHNICITY,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
EOD,ETHNICITY,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
TI,ETHNICITY,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
PP,ETHNICITY,449,0.898,0.868,0.922,0.102,,,,,False,False,fair
CAL,ETHNICITY,25,0.05,0.034,0.073,0.05,,,,,False,True,unfair
DI,AGE_GROUP,116,0.232,0.197,0.271,0.232,0.2977,0.0134,0.2714,0.324,False,False,unfair
SPD,AGE_GROUP,146,0.292,0.254,0.333,0.292,,,,,False,False,unfair
EOPP,AGE_GROUP,0,0.0,0.0,0.008,0.0,,,,,False,True,unfair
EOD,AGE_GROUP,0,0.0,0.0,0.008,0.0,,,,,False,True,unfair
TI,AGE_GROUP,500,1.0,0.992,1.0,0.0,,,,,False,True,fair
PP,AGE_GROUP,0,0.0,0.0,0.008,0.0,,,,,False,True,unfair
CAL,AGE_GROUP,0,0.0,0.0,0.008,0.0,,,,,False,True,unfair
