PAT_AGE,N,LOS>3d_%,Notebook_group
0,6826,32.6,Age_0_17
1,8818,46.0,Age_0_17
2,7991,41.3,Age_0_17
3,6481,42.2,Age_0_17
4,8005,38.3,Age_0_17
5,14050,24.7,Age_18_39
6,19281,19.6,Age_18_39
7,60141,18.2,Age_18_39
8,60655,19.8,Age_18_39
9,54401,23.6,Age_18_39
10,48077,29.6,Age_40_54
11,47421,35.6,Age_40_54
12,56175,41.4,Age_40_54
13,61599,46.9,Age_55_64
14,68137,50.6,Age_55_64
15,67114,53.5,Age_65_Plus
16,72891,54.7,Age_65_Plus
17,73059,58.0,Age_65_Plus
18,71519,62.3,Age_65_Plus
19,59236,66.5,Age_65_Plus
20,34870,70.8,Age_65_Plus
21,18381,74.5,Age_65_Plus
