Attribute,Metric,Bootstrap mean (K=30),Bootstrap sigma,Threshold (corrected),Pass (mean vs threshold),Margin (sigma),Stability,"VFR at old thresholds (from CSV, %)","VFR at corrected thresholds (Gaussian est., %)"
RACE,DI,0.6629,0.1118,0.8,Fail,-1.23,Marginal,13.3,11.0
RACE,SPD,0.162,0.0556,0.1,Fail,-1.12,Marginal,13.3,13.2
RACE,EOPP,0.1193,0.0566,0.1,Fail,-0.34,Unstable,13.3,36.6
RACE,EOD,0.1252,0.053,0.1,Fail,-0.48,Unstable,13.3,31.7
RACE,TI,0.4917,0.0231,0.1,Fail,-16.94,Stable,0.0,0.0
RACE,PP,0.1595,0.0581,0.1,Fail,-1.02,Marginal,13.3,15.3
RACE,CAL,0.1881,0.0691,0.05,Fail,-2.0,Marginal,0.0,2.3
SEX,DI,0.7551,0.0179,0.8,Fail,-2.51,Stable,0.0,0.6
SEX,SPD,0.125,0.0106,0.1,Fail,-2.37,Stable,3.3,0.9
SEX,EOPP,0.0482,0.0107,0.1,Pass,4.85,Stable,0.0,0.0
SEX,EOD,0.0554,0.0075,0.1,Pass,5.95,Stable,0.0,0.0
SEX,TI,0.5065,0.0075,0.1,Fail,-54.54,Stable,0.0,0.0
SEX,PP,0.0116,0.0071,0.1,Pass,12.48,Stable,0.0,0.0
SEX,CAL,0.0639,0.0179,0.05,Fail,-0.78,Unstable,3.3,21.8
ETHNICITY,DI,0.8372,0.0202,0.8,Pass,1.84,Marginal,3.3,3.3
ETHNICITY,SPD,0.0735,0.0095,0.1,Pass,2.78,Stable,0.0,0.3
ETHNICITY,EOPP,0.0309,0.0159,0.1,Pass,4.34,Stable,0.0,0.0
ETHNICITY,EOD,0.0352,0.0124,0.1,Pass,5.24,Stable,0.0,0.0
ETHNICITY,TI,0.4888,0.0081,0.1,Fail,-48.04,Stable,0.0,0.0
ETHNICITY,PP,0.0168,0.0121,0.1,Pass,6.85,Stable,0.0,0.0
ETHNICITY,CAL,0.077,0.0216,0.05,Fail,-1.25,Marginal,13.3,10.6
AGE_GROUP,DI,0.2547,0.0129,0.8,Fail,-42.28,Stable,0.0,0.0
AGE_GROUP,SPD,0.4597,0.0106,0.1,Fail,-33.91,Stable,0.0,0.0
AGE_GROUP,EOPP,0.268,0.0234,0.1,Fail,-7.18,Stable,0.0,0.0
AGE_GROUP,EOD,0.268,0.0234,0.1,Fail,-7.18,Stable,0.0,0.0
AGE_GROUP,TI,0.4853,0.0097,0.1,Fail,-39.59,Stable,0.0,0.0
AGE_GROUP,PP,0.0781,0.0198,0.1,Pass,1.1,Marginal,16.7,13.5
AGE_GROUP,CAL,0.2029,0.0684,0.05,Fail,-2.24,Stable,0.0,1.3
