Metric,Standard,Fair (Intersect.),Change
Accuracy,0.8501453849729227,0.8001848388875077,-0.049960546085415
AUC,0.9315547735603353,0.9315547735603353,0.0
F1,0.8301405948479187,0.7770696028123323,-0.053070992035586406
DI (Race),0.6444358158851498,0.9162483299497963,0.27181251406464657
SPD (Race),0.17203282445451457,0.03882930067782425,-0.1332035237766903
EOPP (Race),0.07036329366426453,0.06646360051792233,-0.003899693146342198
EOD (Race),0.07036329366426453,0.09607292916489152,0.025709635500626993
TI (Race),0.4856741573033707,0.4898876404494382,0.004213483146067509
PP (Race),0.07888711484999189,0.2299081857292471,0.1510210708792552
CAL (Race),0.1449889302253723,0.1449889302253723,0.0
DI (Sex),0.755512064994096,0.9733510179495758,0.21783895295547984
SPD (Sex),0.12490132756170924,0.012085574339464056,-0.11281575322224519
EOPP (Sex),0.04595889873779013,0.007351802535550789,-0.038607096202239344
EOD (Sex),0.053482121625933327,0.09568103700303823,0.042198915377104906
TI (Sex),0.498,0.4968,-0.0011999999999999789
PP (Sex),0.009651894386058735,0.15884485946406923,0.1491929650780105
CAL (Sex),0.02065499635405621,0.02065499635405621,0.0
DI (Eth),0.8335014128499473,0.9854703230571121,0.15196891020716485
SPD (Eth),0.07532415316160052,0.006504028976287823,-0.06882012418531269
EOPP (Eth),0.026977939235868553,0.015319503074148866,-0.011658436161719687
EOD (Eth),0.026977939235868553,0.05119472775636971,0.02421678852050116
TI (Eth),0.4912,0.4854,-0.005800000000000027
PP (Eth),0.013793646305211071,0.09892891248079916,0.08513526617558809
CAL (Eth),0.017530535749940346,0.017530535749940346,0.0
DI (Age),0.25406444271262035,0.8578765881786343,0.6038121454660139
SPD (Age),0.4608095743554276,0.06759322641978455,-0.39321634793564303
EOPP (Age),0.2721482132110151,0.15941992116549286,-0.11272829204552226
EOD (Age),0.2721482132110151,0.2000859167392885,-0.07206229647172663
TI (Age),0.48448000000000013,0.49144,0.006959999999999855
PP (Age),0.07904013893196904,0.481499646227345,0.40245950729537594
CAL (Age),0.039596035406251284,0.039596035406251284,0.0
