Metric,Standard,Fair (Intersect.),Change
Accuracy,0.8776,0.8347,-0.0429
AUC,0.9528,0.9528,0.0
F1,0.8627,0.8163,-0.0464
DI (Race),0.6439,0.8009,0.157
SPD (Race),0.1802,0.0981,-0.0821
EOPP (Race),0.03,0.0401,0.0101
EOD (Race),0.0335,0.0867,0.0532
TI (Race),0.0,0.0005,0.0005
PP (Race),0.0624,0.2191,0.1566
CAL (Race),0.0257,0.0257,0.0
DI (Sex),0.7632,0.9317,0.1685
SPD (Sex),0.1229,0.0321,-0.0908
EOPP (Sex),0.0326,0.0044,-0.0282
EOD (Sex),0.0497,0.0746,0.0249
TI (Sex),0.0,0.0007,0.0007
PP (Sex),0.0029,0.1324,0.1296
CAL (Sex),0.016,0.016,0.0
DI (Eth),0.831,1.0,0.169
SPD (Eth),0.0782,0.0,-0.0782
EOPP (Eth),0.0204,0.0241,0.0037
EOD (Eth),0.0276,0.0648,0.0372
TI (Eth),0.0,0.0005,0.0005
PP (Eth),0.0034,0.1074,0.1041
CAL (Eth),0.0136,0.0136,0.0
DI (Age),0.2986,0.8,0.5014
SPD (Age),0.4296,0.1004,-0.3292
EOPP (Age),0.1719,0.149,-0.0229
EOD (Age),0.1719,0.1921,0.0202
TI (Age),0.0001,0.0065,0.0064
PP (Age),0.0734,0.4656,0.3922
CAL (Age),0.0156,0.0156,0.0
