[12:28:25] START loading CIKM_2026_LOS_Fairness_FINAL.ipynb
[12:28:25] 32 code cells, executing fresh kernel ...
[12:28:30]   cell[02] OK in    3.0s | %matplotlib inline
[12:28:31]   cell[04] OK in    0.8s | # ──────────────────────────────────────────────────────────
[12:28:32]   cell[06] OK in    0.6s | # ──────────────────────────────────────────────────────────
[12:28:33]   cell[09] OK in    0.8s | # ──────────────────────────────────────────────────────────
[12:28:33]   cell[11] OK in    1.0s | # ──────────────────────────────────────────────────────────
[12:28:34]   cell[13] OK in    0.0s | # ──────────────────────────────────────────────────────────
[12:44:08]   cell[15] OK in  934.3s | # ──────────────────────────────────────────────────────────
[12:44:08]   cell[17] OK in    0.0s | # ──────────────────────────────────────────────────────────
[12:44:10]   cell[19] OK in    2.4s | # ──────────────────────────────────────────────────────────
[12:44:13]   cell[21] OK in    2.5s | # ──────────────────────────────────────────────────────────
[12:45:52]   cell[23] OK in   98.7s | # ──────────────────────────────────────────────────────────
[12:47:41]   cell[25] OK in  108.9s | # ──────────────────────────────────────────────────────────
[12:49:22]   cell[28] OK in  101.6s | # ──────────────────────────────────────────────────────────
[12:49:22]   cell[29] OK in    0.0s | # ──────────────────────────────────────────────────────────
[12:49:22]   cell[30] OK in    0.0s | # ──────────────────────────────────────────────────────────
[12:50:34]   cell[32] OK in   71.6s | # ──────────────────────────────────────────────────────────
