Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776766508490699,0.9527142000497749,0.862706322679268,0.8724495429728237,0.8531783168958318,186.30115723609924
LightGBM,0.8773847999740577,0.9525881764830912,0.8623637257102643,0.8722004736951906,0.8527463825498525,166.39332270622253
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,19.90783452987671
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,25.313945531845093
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,525.9747214317322
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.973882675170898
Random Forest,0.856593127452358,0.9369992898372916,0.8383728863115832,0.8514637103758878,0.8256784968684759,21.550689697265625
CatBoost,0.8538799952439117,0.9350095360839535,0.834735194875055,0.8508586097749421,0.819211479855062,10.314379453659058
DNN (PyTorch),0.8371580210348816,0.9209202468337324,0.814769276167759,0.8354682535680065,0.7950711491853238,215.29225993156433
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,4.306910753250122
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,233.34501457214355
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.3590552806854248
