Model,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,Fair_Verdicts,CFS
LGB-XGB Blend,0.8776766508490699,0.9527142000497749,0.862706322679268,0.6544165607499193,0.1750373181573635,0.04885667182373199,0.04885667182373199,0.005030839755385,0.09419197866293716,0.19161130567604728,0.7621560583200926,0.12335089543153499,0.035053438162021555,0.04836476587169211,0.0046629915690038215,0.0041757339753409894,0.025500078717358265,0.8318995300145732,0.07762284936157182,0.01893774972020046,0.027698004141714458,0.0025047816462097985,0.0028415399031442856,0.035817994105511564,0.2914071258666016,0.4354350041166579,0.18409338690176047,0.18409338690176047,0.015685291621209844,0.0722234797930501,0.07199886062161076,18,0.6428571428571429
LightGBM,0.8773847999740577,0.9525881764830912,0.8623637257102643,0.6666449194505502,0.16855582005589603,0.05022485605009874,0.05022485605009874,0.005090604298895532,0.10813622520137767,0.22671619073491817,0.7616693496847593,0.12362087509535169,0.03506446954206677,0.04900710436608223,0.004574078480278056,0.0036463195689659944,0.03110704306671319,0.8291667367606672,0.07892926031855385,0.020589580778207384,0.028841052951795898,0.0024714411331390046,0.0016924215495054407,0.03049629266867626,0.2912968124244365,0.43584244941696165,0.18404305715953606,0.18404305715953606,0.01566242634171932,0.07386507562777755,0.09624705978085402,17,0.6071428571428571
AFCE-LightGBM,0.8764714148281864,0.9517893990184303,0.8615492718858279,0.6163141697773911,0.19935560990021484,0.07006318209158124,0.07006318209158124,0.0036863538265408946,0.06521434881869792,0.1393130704633213,0.7901532980072126,0.10691038924128143,0.016857994309906643,0.033641911427284274,0.004575534634150891,0.017101149125445803,0.024722944288990023,0.8365161490872696,0.07560665708446168,0.01718712437589065,0.025746100254260065,0.0029136309889115364,0.0058343980242607785,0.018661823792198162,0.2916065261379438,0.43699214509215806,0.18523100390196467,0.18523100390196467,0.015559616237885154,0.07006278771871288,0.05850393025017675,18,0.6428571428571429
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,0.292592976597641,0.43537544052048627,0.1851346241083225,0.1851346241083225,0.01630948684541616,0.07340538342430825,0.041080584040785295,19,0.6785714285714286
AFCE-XGBoost,0.8744230540572676,0.9504718868097903,0.859069928246062,0.6217204344245612,0.19654662113616989,0.05484715895018866,0.05484715895018866,0.005869967832945772,0.05702104905665828,0.19691281393170357,0.7896003646653601,0.1069533288426805,0.017231682751326582,0.03430578238858786,0.005194991707992883,0.01691870741427537,0.018486860146291972,0.8352539508111062,0.07601749008103409,0.017908092145901278,0.026476057387058854,0.0029726421858219457,0.005334523630085575,0.014208964341157482,0.2912939228518247,0.43590679510597086,0.1867127817809514,0.1867127817809514,0.016240019017536293,0.06928266581843334,0.02186567995763511,19,0.6785714285714286
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393702,0.09308555617699377,0.30575322373883523,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496268,0.0021040955103475145,0.09372728089003335,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.003608071069799143,0.002317574524305255,0.08000389634089339,0.280056881482688,0.4455696797593964,0.20361403261456934,0.20361403261456934,0.020491309526191083,0.06562092276269382,0.1049241264579337,16,0.5714285714285714
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,0.2618590047772287,0.45733498625666735,0.24369248397375076,0.24369248397375076,0.013027004818397053,0.06991272519140168,0.0899556666680823,18,0.6428571428571429
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,0.26306259833270085,0.45691457302447314,0.2428116122759172,0.2428116122759172,0.013459585040777919,0.06776773757725085,0.0694935306132275,18,0.6428571428571429
Random Forest,0.856593127452358,0.9369992898372916,0.8383728863115832,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.005580594687957199,0.08247394702561883,0.10507279403436443,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.003074822118997171,0.002046700537876478,0.04243136725207042,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775785,0.005878962280276068,0.041452455829548596,0.2578756276625752,0.4606360213426246,0.25730294174523916,0.25730294174523916,0.013834844813528722,0.07415411244344117,0.08312293834152251,18,0.6428571428571429
CatBoost,0.8538799952439117,0.9350095360839535,0.834735194875055,0.6102828352648194,0.19283099641056817,0.08574273622817319,0.08574273622817319,0.004949009384009315,0.05949308007630183,0.16938112865093885,0.7429783914014086,0.13314153420824265,0.05114056480145579,0.06303295441939949,0.002289761012465849,0.00041364079341976723,0.03506620222619572,0.8202873167233634,0.08197638884876052,0.031616039299426246,0.032205372713722424,0.0013598214678808077,0.004981091261225368,0.02708840864508688,0.24928562103145996,0.4647937753955911,0.2768508921745637,0.2768508921745637,0.01251437646351243,0.06901430297310474,0.06038535738370754,18,0.6428571428571429
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.6464503372353458,0.1751338578169715,0.09589439686527057,0.09589439686527057,0.012973280071889887,0.0967741195575883,0.19815554559230802,0.7504023869605763,0.12860422014459627,0.04610326577494295,0.06496982414973826,0.005746119377222969,0.004529629173382843,0.04920857657843469,0.828718372181169,0.07795970899390658,0.030904588712329373,0.030904588712329373,0.00092389858161461,0.013258547074596061,0.059968631993484456,0.281264323986267,0.4356940713843717,0.23398067994310612,0.23398067994310612,0.018207203141755002,0.10377095142449777,0.0777289438072879,16,0.5714285714285714
DNN (PyTorch),0.8371580210348816,0.9209202468337324,0.814769276167759,0.6104730849173118,0.1881959405800821,0.14186784089696713,0.14186784089696713,0.007041302885704877,0.09872334992978427,0.226150349430416,0.7414824851811823,0.13251437199406507,0.0514785136242083,0.06885829480860232,0.004393174282686631,0.0006440982188679056,0.028504563530815152,0.7999328404515261,0.09073547223418787,0.04942144184145014,0.04942144184145014,7.639626834318736e-05,0.004124384659821678,0.03843242998811458,0.23219613223053262,0.4764009570021531,0.31843455850326485,0.31843455850326485,0.01506800859336379,0.0797274354486065,0.08329116591700803,15,0.5357142857142857
Fair (Reweigh+Thr),0.8248462378260353,0.9455753220986414,0.8008406872987389,0.8839368544663588,0.052742308481567024,0.07887272198342954,0.07887272198342954,0.006380746494306137,0.19595867315582283,0.1692792503606706,0.9328732978031788,0.03007657730959218,0.001833725388827867,0.07566387038409705,0.004038895118752578,0.1365981269694576,0.0575981192545002,0.9619077966734613,0.01651421992197788,0.025566794581745045,0.03231296986858115,0.0018540770313444366,0.0752183284913962,0.04538536438315327,0.8012928607268791,0.09176997812913856,0.1924362971276552,0.1924362971276552,0.012627257431322328,0.4426515014342317,0.2574768531330751,20,0.7142857142857143
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.6343938420867148,0.17564439009978516,0.12647546628129147,0.12647546628129147,0.0035692089417712625,0.12106020188365652,0.18825533504318825,0.6981979543990751,0.15967001949776732,0.08154023638980445,0.09999517881601094,0.0032741065125940876,0.016244663135562498,0.19956339193161846,0.7841483526981422,0.09817529036913947,0.054833515161864965,0.054833515161864965,0.001238607349662177,0.005269219934572411,0.18406472107789595,0.19668799225888794,0.49728790328873224,0.3950109142959385,0.3950109142959385,0.003978656874792704,0.0588368179289811,0.19571117000989474,12,0.42857142857142855
