Subset,N,Accuracy,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,10000,0.8792,0.5912252082081223,0,0.20014292920800403,0,0.25,0,0.25,0,0.02320389293998082,1,0.07578229274803494,1,0.5502733788590228,0,0.7658237925950615,0,0.12163276325318506,0,0.021540092133250255,1,0.05518542397975022,1,0.006927691580936417,1,0.0034363790752556245,1,0.05744739511245878,0,0.8635407589390393,1,0.06278177087358627,1,0.0061975082593639375,1,0.03273981822268468,1,0.0071207819160095664,1,0.01086558572366858,1,0.04658222074164853,1,0.2953430034538681,0,0.43119836394153205,0,0.15567185572852427,0,0.15567185572852427,0,0.02098185259089337,1,0.08181696098838387,1,0.2702287035827756,0
2,10000,0.8766,0.5752715121136174,0,0.21372120396838745,0,0.12884124553343546,0,0.12884124553343546,0,0.0251037564165261,1,0.15384615384615385,0,0.25357639947632993,0,0.7431141046011058,0,0.13403350037406941,0,0.05555494253168736,1,0.05555494253168736,1,0.00532108295211723,1,0.001965580650044929,1,0.08150396399230153,0,0.8316981537375691,1,0.07711031522761136,1,0.005929741948899614,1,0.02781177064278055,1,0.005781618133857538,1,0.0028496616530108154,1,0.0681799169734204,0,0.29453713114686364,0,0.4256646257553699,0,0.18645225120020759,0,0.18645225120020759,0,0.02368277894102004,1,0.07278422701308274,1,0.2307778272405892,0
3,10000,0.8841,0.6524231370505471,0,0.16823608542122082,0,0.09491767344650048,1,0.09491767344650048,1,0.013772502220975813,1,0.0643564356435643,1,0.46019877561588474,0,0.7825307776219418,0,0.11075924250361124,0,0.03578883673874489,1,0.03578883673874489,1,0.003950339648609705,1,0.01008542649496369,1,0.09474940161542655,0,0.8085531484625804,1,0.08870511505909656,1,0.018362271775530847,1,0.025160876012923036,1,0.0017060549655220428,1,0.009242691838515671,1,0.0869600274015091,0,0.2788952150834758,0,0.4457889718735102,0,0.1980248191665076,0,0.1980248191665076,0,0.016031209162178053,1,0.09269232444782194,1,0.20493680902806655,0
4,10000,0.8787,0.5826705026231173,0,0.20733142761055995,0,0.06582914572864329,1,0.06582914572864329,1,0.022292327406134432,1,0.0821397252265419,1,0.6069295570658764,0,0.7788410437140229,0,0.11208437033328511,0,0.03398154464936587,1,0.05614920757061238,1,0.00607404226331356,1,0.012946362702912717,1,0.08178847097694264,0,0.8248943976875961,1,0.08005304466331742,1,0.020648001004822003,1,0.021820062882419305,1,0.0005135345888239648,1,0.01432612879691908,1,0.07403533398786916,0,0.28615023908113973,0,0.432725422082773,0,0.18168015653233827,0,0.18168015653233827,0,0.025115876252809206,1,0.08210037713954155,1,0.16789271657069627,0
5,10000,0.8764,0.5893025246041934,0,0.20174037329746092,0,0.17500000000000004,0,0.17500000000000004,0,0.01041070739739828,1,0.258985200845666,0,0.6930580000717308,0,0.7546265188263694,0,0.12777202684226657,0,0.047669177610090485,1,0.047669177610090485,1,0.0032159261169199954,1,0.016212442806116334,1,0.11896804182398929,0,0.8444314354398081,1,0.07142469598585949,1,0.027808995766080535,1,0.0363027907282491,1,0.001242052207358263,1,0.014947341707905015,1,0.09172662421371536,0,0.28160787599247467,0,0.4453831892251925,0,0.2296276419066069,0,0.2296276419066069,0,0.01449516796014088,1,0.08369907383688835,1,0.189585471225573,0
6,10000,0.8847,0.3103362802610923,0,0.35089120564990756,0,0.2415113182423435,0,0.2415113182423435,0,0.004364485046169694,1,0.07718472004186283,1,0.4298567058886306,0,0.7665320435784786,0,0.12217818760670723,0,0.0228358374247849,1,0.04724625647716764,1,0.006061559629912075,1,0.0021241067701299743,1,0.051808145074870415,0,0.8363109946010457,1,0.07639566157649075,1,0.03297430136870172,1,0.03297430136870172,1,0.00312037892338253,1,0.004644660289691793,1,0.11006372591179003,0,0.28856911784749334,0,0.4427566115192181,0,0.19922279088582018,0,0.19922279088582018,0,0.017059562610901885,1,0.09276579499904558,1,0.24196490180534558,0
7,10000,0.8809,0.6730820923606258,0,0.16372007035933517,0,0.12071633646229962,0,0.12071633646229962,0,0.016213205189343487,1,0.162907268170426,0,0.5667519056806399,0,0.7730782188640614,0,0.11790910880669148,0,0.03381291416242882,1,0.04984564384691342,1,0.005004322045779559,1,0.00020407807728584082,1,0.0887262002644078,0,0.8557502166268461,1,0.06668447897668484,1,0.006481388186744597,1,0.024158489115744572,1,0.005208058288813669,1,0.00371820849549076,1,0.05589332886942966,0,0.3140607573866001,0,0.42711235489220556,0,0.14291735277973816,0,0.14291735277973816,0,0.024292361006018615,1,0.08846153846153848,1,0.2706857886065257,0
8,10000,0.8779,0.500719884818429,0,0.2624012106944678,0,0.08459595959595956,1,0.08459595959595956,1,0.012586472755444902,1,0.03543470730862486,1,0.6222463516626348,0,0.7531301368229671,0,0.1297884499499402,0,0.034428022259314406,1,0.058068325125236575,1,0.007236268487485591,1,0.003162959932379472,1,0.06081084130552128,0,0.8357788440353763,1,0.07616740058955285,1,0.01701645951882813,1,0.021733394498315323,1,0.004282472370469602,1,0.012372455931659587,1,0.05141160618670587,0,0.30544273967107904,0,0.4237976503701891,0,0.1575894492612041,0,0.1575894492612041,0,0.02651849188681999,1,0.07166746297181081,1,0.14497295513321817,0
9,10000,0.8746,0.5575708502024291,0,0.22969564486295613,0,0.09693464430306531,1,0.09693464430306531,1,0.022985358120849737,1,0.04645354645354638,1,0.6351376571490661,0,0.7519344448541877,0,0.1297685889923429,0,0.04082648113008647,1,0.048671289318020186,1,0.006044705160125764,1,0.00923884640817385,1,0.04960415760955156,1,0.8355281515673082,1,0.07610871928575191,1,0.009852247091111321,1,0.03546315121534298,1,0.00365370692060496,1,0.007691723998381139,1,0.09021137896196652,0,0.2978287205293076,0,0.4267590477449074,0,0.19403381031288003,0,0.19403381031288003,0,0.012691579850925637,1,0.07107843137254899,1,0.12451227225779771,0
10,10000,0.8739,0.6449729544088606,0,0.17382713973431985,0,0.07911046299671887,1,0.07911046299671887,1,0.01225457535613466,1,0.042686242523110374,1,0.6672595881967203,0,0.7465475557532611,0,0.1295563362650824,0,0.043527248599662616,1,0.050110522065940785,1,0.0028614084962580513,1,0.004003612388576716,1,0.06911812384360522,0,0.8608771276349936,1,0.06204049811363854,1,0.004447249113892937,1,0.02158732176464423,1,0.005288200251482564,1,0.005664604041886068,1,0.06346999169817807,0,0.28182115344522723,0,0.43316319085453125,0,0.20497979854590287,0,0.20497979854590287,0,0.024914295915157515,1,0.09763708513708513,1,0.3138248150906715,0
