Model,A_SR,A_TPR,A_PPV,Accuracy,DI(Race),DI(Sex),DI(Eth),DI(Age),Verdicts,ΔAcc(pp)
Reweigh_1,0.8,0.0,0.0,0.8248462378260353,0.8839368544663588,0.9328732978031788,0.9619077966734612,0.8012928607268791,20,5.28304130230346
Reweigh_1,0.9,0.0,0.0,0.8142801552214284,0.9213009078128576,0.9609189482709568,0.9842484624460558,0.8852733718887786,20,6.33964956276415
Standard,0.5,1.0,0.4,0.8262676596802612,0.9019215219386364,0.9778591175508036,0.9806866038654694,0.8282074283406888,19,5.14089911688087
Standard,0.5,0.8,0.0,0.8237382854301558,0.9600017371225142,0.9798545915165412,0.9837738110158036,0.8256981128418734,19,5.393836541891406
Reweigh_1,0.8,0.4,0.0,0.823343746284306,0.9337117351381348,0.9523449113577136,0.9662547582539008,0.8017472240864839,19,5.433290456476392
Reweigh_3,0.3,0.4,0.0,0.8204576654091857,0.8268888260178374,0.9172570600109352,0.968367663678528,0.8196770632990075,19,5.721898543988413
Reweigh_3,0.5,0.4,0.0,0.8198469404299936,0.8728612457619995,0.9358322713119146,0.9749551594157768,0.8104351717125203,19,5.782971041907626
Reweigh_3,0.6,0.4,0.0,0.8192956665549707,0.9023990282417248,0.9457913727705258,0.9771613303228868,0.8054431438275714,19,5.838098429409921
Reweigh_3,0.3,0.0,0.0,0.8001902435333412,0.8572840213364701,0.9385207158546994,0.996969841977632,0.9538837139906872,19,7.748640731572864
Reweigh_3,0.0,0.0,0.0,0.8000983645541707,0.8189667949677045,0.9166462936405916,0.997058183483666,0.9396107081476012,19,7.757828629489916
