Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776009858074001,0.9527093833153568,0.8626630523768807,0.872135368769542,0.8533942840688216,160.3424530029297
LightGBM,0.8774496557240604,0.9525790199087221,0.8624932535278743,0.8719637054748329,0.8532263096009407,150.17649245262146
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,10.165960550308228
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,32.30894899368286
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,597.7438759803772
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.554273843765259
Random Forest,0.856593127452358,0.9369992898372919,0.8383728863115832,0.8514637103758878,0.8256784968684759,21.22176480293274
CatBoost,0.8538799952439117,0.9350096533753305,0.834735194875055,0.8508586097749421,0.819211479855062,10.295557737350464
DNN (PyTorch),0.8380768108265866,0.9212621743847413,0.816901752756252,0.8324904710894099,0.8018861133107767,260.68785429000854
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,4.81268048286438
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,261.75481367111206
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.45261216163635254
