Group,N,Selection_Rate,TPR,FPR,Accuracy
Asian/PI × Female,7641,0.5950791781180473,0.8870685889034513,0.15866797257590598,0.868734458840466
Native American × Female,998,0.5390781563126252,0.8977272727272727,0.13617021276595745,0.8817635270541082
White × Female,12086,0.5369022008935959,0.871347713018204,0.14290863218597946,0.8648022505378123
Black × Female,46860,0.5024327784891165,0.8721321244626059,0.13073993238327555,0.8706999573196756
Asian/PI × Male,15520,0.46288659793814435,0.8472461844724618,0.10018785222291797,0.8742912371134021
Other/Unknown × Female,268,0.43656716417910446,0.8198198198198198,0.16560509554140126,0.8283582089552238
Black × Male,73901,0.40822181025967175,0.8411127887179157,0.09316842794351445,0.8791491319467937
Native American × Male,2293,0.3458351504579154,0.8360049321824907,0.07759784075573549,0.8918447448757086
White × Male,25015,0.32208674795122927,0.8202022577610536,0.06553206952940464,0.8956226264241455
Other/Unknown × Male,444,0.26576576576576577,0.8,0.06790123456790123,0.8963963963963963
