Seed,Accuracy,AUC,DI_RACE,Fair_RACE,DI_SEX,Fair_SEX,DI_ETHNICITY,Fair_ETHNICITY,DI_AGE_GROUP,Fair_AGE_GROUP
1,0.8678401954319933,0.9456047204625054,0.6469333080730799,0,0.7529705733712222,0,0.821604146127698,1,0.5443452755988119,0
8,0.8675537492028147,0.945595885554428,0.6520011455312096,0,0.753051817110425,0,0.821748602274902,1,0.5443839583148568,0
15,0.8675483445569812,0.9454633372123975,0.6479417777661011,0,0.7534592682562842,0,0.8206068396026909,1,0.5441242765830021,0
22,0.867856409369494,0.945525854460366,0.6492408158153785,0,0.7530334175132812,0,0.8189975519738184,1,0.5449237768852426,0
29,0.867856409369494,0.9455515010931557,0.6368938517142059,0,0.7528701007797849,0,0.819913198517878,1,0.5433292715679747,0
36,0.867159210056965,0.9454644114196924,0.650195829561927,0,0.7533599430400585,0,0.8206938287234786,1,0.5438562929398597,0
43,0.8679699069319987,0.9456219555099694,0.6413078010463574,0,0.7531027272714684,0,0.8194014484237013,1,0.5450951644607418,0
50,0.8676077956611503,0.9455561515074571,0.6487845740431121,0,0.7545009334745315,0,0.8220650590434893,1,0.5450451114349675,0
57,0.8674780841611449,0.9455226986261267,0.6511536570404844,0,0.753025201111749,0,0.8214085802218215,1,0.5445859925982511,0
64,0.8678456000778269,0.9455107790374322,0.6570190872929296,0,0.7527298942563874,0,0.8216927419994855,1,0.5439073294722023,0
71,0.867807767556992,0.9456267672294141,0.6484471925693507,0,0.7542588633730342,0,0.821954643825959,1,0.5453393155637161,0
78,0.8676618421194859,0.9455046623039184,0.6564500425265232,0,0.7533043199453613,0,0.8201419199629421,1,0.5447682340198395,0
85,0.8676294142444846,0.9456065584797436,0.6483909964351476,0,0.7526621898506545,0,0.8203988372290729,1,0.5455260000617943,0
92,0.8675915817236497,0.9455282563966091,0.6448454132170313,0,0.7531521182672446,0,0.8199561686556338,1,0.5439663523036296,0
99,0.8681050230778377,0.945508994296911,0.6360122614704627,0,0.7533384877402254,0,0.8198365834098404,1,0.5455326559575866,0
106,0.8673699912444738,0.9455834711943611,0.6364527513061274,0,0.7531472574793399,0,0.8186601275210755,1,0.5453961768398244,0
113,0.8678618140153276,0.9456029541888862,0.6488408384238287,0,0.7523997776750474,0,0.8199552355682663,1,0.5442091293781746,0
120,0.8677483164528228,0.9455726980285778,0.6472691156557807,0,0.7539658429614549,0,0.8203930036304763,1,0.5452022685328628,0
127,0.8677050792861544,0.9456412786153436,0.6467655349122725,0,0.754209106338931,0,0.8201376728140729,1,0.5444410094747096,0
134,0.8677537210986564,0.9455101821376022,0.644399153415497,0,0.7519253490701673,0,0.8207573626417969,1,0.5455889354536227,0
141,0.8679104558278296,0.945598563550205,0.6394349865534379,0,0.7539584110223245,0,0.8203201320162459,1,0.545200818286084,0
148,0.8677915536194913,0.9455601709791095,0.6455719051462991,0,0.7533381863748452,0,0.821418997691695,1,0.5452274892815928,0
155,0.867159210056965,0.945343416337302,0.6425300804904378,0,0.7538521913112902,0,0.8212620452259175,1,0.5452918506627613,0
162,0.867575367786149,0.9454999058671799,0.6390476178900131,0,0.753713887116989,0,0.819925229432953,1,0.5451946533633796,0
169,0.8679104558278296,0.9457328694339011,0.6526152452982716,0,0.7535584930796128,0,0.8204952308249573,1,0.5438322691866524,0
176,0.8676132003069839,0.945526347933745,0.6429757016992739,0,0.7535808982947239,0,0.8208482970999753,1,0.544377716817119,0
183,0.8677158885778214,0.9455134633461757,0.6436752971125158,0,0.7526212191051675,0,0.81931326355748,1,0.5451659126958669,0
190,0.8678401954319933,0.9455312581236669,0.6501395745152441,0,0.7526145051622201,0,0.8198218906325061,1,0.5449181508346569,0
197,0.8675483445569812,0.9455695010715571,0.6474371502133237,0,0.7529393662775343,0,0.8193608497672101,1,0.543970441213387,0
204,0.8679374790569974,0.9455641628979083,0.6467655349122725,0,0.7535917514123087,0,0.8209033109507604,1,0.545019282955125,0
