Model,Accuracy,AUC,F1,DI_RACE,SPD_RACE,EOPP_RACE,EOD_RACE,TI_RACE,PP_RACE,CAL_RACE,DI_SEX,SPD_SEX,EOPP_SEX,EOD_SEX,TI_SEX,PP_SEX,CAL_SEX,DI_ETHNICITY,SPD_ETHNICITY,EOPP_ETHNICITY,EOD_ETHNICITY,TI_ETHNICITY,PP_ETHNICITY,CAL_ETHNICITY,DI_AGE_GROUP,SPD_AGE_GROUP,EOPP_AGE_GROUP,EOD_AGE_GROUP,TI_AGE_GROUP,PP_AGE_GROUP,CAL_AGE_GROUP,Fair_Verdicts,CFS
LGB-XGB Blend,0.8776766508490699,0.9527141626439736,0.862706322679268,0.6544165607499193,0.1750373181573635,0.04885667182373199,0.04885667182373199,0.0050339556679959915,0.09419197866293716,0.19161133406279024,0.7621560583200926,0.12335089543153499,0.035053438162021555,0.04836476587169211,0.004663155790073356,0.0041757339753409894,0.025497607232540742,0.8318995300145732,0.07762284936157182,0.01893774972020046,0.027698004141714458,0.0025051784192003587,0.0028415399031442856,0.03581120373046098,0.2914071258666016,0.4354350041166579,0.18409338690176047,0.18409338690176047,0.0138069295736847,0.0722234797930501,0.07061655607441464,18,0.6428571428571429
LightGBM,0.8773793953282242,0.9525880456217861,0.8623551537948189,0.6667018489910668,0.16851264402722715,0.05022485605009874,0.05022485605009874,0.005095996186053532,0.10812695701679476,0.22671623214283104,0.7616199889302218,0.12364647826331698,0.03510605044811477,0.049021581593403654,0.004574386508833635,0.003633100947216361,0.031042177579746255,0.8291507397411391,0.07893410803551876,0.02062326022085692,0.02882700840248549,0.0024717981796994887,0.0017110770268792264,0.030493984598218726,0.2912578846130741,0.43586638947106615,0.18415899918852152,0.18415899918852152,0.013819289576063286,0.07388886652253057,0.09621925416001553,17,0.6071428571428571
AFCE-LightGBM,0.8764335823073514,0.9516154025705323,0.8615093859601302,0.6108571441908666,0.20220777469292867,0.0602493903905611,0.0602493903905611,0.003460191347925308,0.04790893816339514,0.13080902299630948,0.7893326808810667,0.10739677295982525,0.017194545187481647,0.03429186815961777,0.004650834908266621,0.016536982860429927,0.01829378624909017,0.8359145478090932,0.07590075769105248,0.016501953068950415,0.026753425024490046,0.0030228985133629177,0.00450689949216565,0.015523790568435114,0.29234691767769666,0.436472938375163,0.18398844772650458,0.18398844772650458,0.013838370078086151,0.07102794317184424,0.047416436336659484,19,0.6785714285714286
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,0.292592976597641,0.43537544052048627,0.1851346241083225,0.1851346241083225,0.014359952988656624,0.07340538342430825,0.041080584040785295,19,0.6785714285714286
AFCE-XGBoost,0.8744230540572676,0.9504718868097903,0.859069928246062,0.6217204344245612,0.19654662113616989,0.05484715895018866,0.05484715895018866,0.005869967832945772,0.05702104905665828,0.19691281393170357,0.7896003646653601,0.1069533288426805,0.017231682751326582,0.03430578238858786,0.005194991707992883,0.01691870741427537,0.018486860146291972,0.8352539508111062,0.07601749008103409,0.017908092145901278,0.026476057387058854,0.0029726421858219457,0.005334523630085575,0.014208964341157482,0.2912939228518247,0.43590679510597086,0.1867127817809514,0.1867127817809514,0.014301949009999253,0.06928266581843334,0.01828750967979431,19,0.6785714285714286
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.658874469578611,0.17233754291527453,0.045743900112832137,0.045743900112832137,0.006595630177393702,0.09308555617699377,0.30575322373883534,0.7565062807587786,0.12685874565452404,0.039111986222432726,0.05407156669161875,0.005878501061496275,0.0021040955103475145,0.0937272808900333,0.8273767513850534,0.07984236403016998,0.02286074380806813,0.03024459824505453,0.00360807106979915,0.002317574524305255,0.08000389634089336,0.280056881482688,0.4455696797593964,0.20361403261456934,0.20361403261456934,0.017997687507278336,0.06562092276269382,0.09511473177939245,16,0.5714285714285714
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.6456278569494839,0.17653580529842644,0.06783184453087365,0.06783184453087365,0.004201510712124802,0.09710915365290018,0.17439541640392686,0.750786352602007,0.12912258835900908,0.044638762481170824,0.05580618947635631,0.0028258989195631135,0.0017159723019285478,0.044254947455794835,0.8188926877007198,0.08315040678120761,0.03161998636638852,0.03161998636638852,0.0017862234874464547,0.002914269572741768,0.03182819584946378,0.2618590047772287,0.45733498625666735,0.24369248397375076,0.24369248397375076,0.011685236100924576,0.06991272519140168,0.0899556666680823,18,0.6428571428571429
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,0.26306259833270085,0.45691457302447314,0.2428116122759172,0.2428116122759172,0.01213812555729088,0.06776773757725085,0.0694935306132275,18,0.6428571428571429
Random Forest,0.856593127452358,0.9369992898372915,0.8383728863115832,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.0055805946879571855,0.08247394702561883,0.10507279403436431,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.0030748221189970254,0.002046700537876478,0.04243136725207042,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775778,0.005878962280276068,0.041452455829548596,0.2578756276625752,0.4606360213426246,0.25730294174523916,0.25730294174523916,0.012446230717664902,0.07415411244344117,0.08312293834152251,18,0.6428571428571429
CatBoost,0.854096181077254,0.9350349418210226,0.8349696176840973,0.6076564069267466,0.19406278667791504,0.08932491456763303,0.08932491456763303,0.005134363292743492,0.0605600297603508,0.17857175442054585,0.7424000772774875,0.1334828715447149,0.05132032462530811,0.06344003153174389,0.0023149362883049737,7.545088053040327e-05,0.037497052571700995,0.8207611680982116,0.08173889478229329,0.031853568990637626,0.031853568990637626,0.0013938171291156196,0.005716373097831684,0.02771679356333634,0.24896995570820715,0.46485660445040894,0.2766277699160147,0.2766277699160147,0.011630203723612238,0.06570924045643212,0.07271870379120582,18,0.6428571428571429
