Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.827153821208518,0.9254579511700033,0.4921544209215442,0,0.3175023357209592,0,0.203307392996109,0,0.203307392996109,0,0.05412937964027372,1,0.06793275217932748,1,0.633950165076457,0,0.76486689794329,0,0.1465372036202589,0,0.03665632789250728,1,0.10662986650038003,0,0.008518752715684919,1,0.009295932303857612,1,0.19344931397551507,0,0.8270750281989179,1,0.09711677368511534,1,0.011459970131461605,1,0.0523117635504253,1,0.006070566757308521,1,0.027540635818158576,1,0.20701905710012158,0,0.3352744805578883,0,0.4635809293299231,0,0.15450281425891188,0,0.2495138149786631,0,0.02711971554919488,1,0.3124705141727291,0,0.35856067101139805,0
2,46257,21,0.8397647923557515,0.9270445977910005,0.5339715716697635,0,0.27892293952740577,0,0.09061293976844353,1,0.12069514237855945,0,0.030450060038526294,1,0.09363799283154117,1,0.6144417952846476,0,0.7909140179847044,0,0.12352365973607016,0,0.03945222698327544,1,0.08382457209393504,1,0.004845031461314903,1,0.002356214312631555,1,0.11997507109320216,0,0.8456942296173922,1,0.08185216123009564,1,0.03004446045799225,1,0.05233029171780246,1,0.0016573282349546525,1,0.006299221224541185,1,0.10561840912783282,0,0.31795525435243444,0,0.4606276107202084,0,0.18697541211540003,0,0.2320633726544611,0,0.020986237113676393,1,0.12352284099754351,0,0.35885961097436425,0
3,46258,22,0.8239223485667344,0.9090197771021626,0.7323750174361034,0,0.18405286954554423,0,0.10069008664714363,0,0.25039059846477824,0,0.057185502432008775,1,0.11588834954208893,0,0.6810986729949626,0,0.8503053255808921,1,0.08714486565048035,1,0.028041697184270298,1,0.07072978226729315,1,0.006380665583441469,1,0.010364323964023092,1,0.10972996392634371,0,0.9923693216607579,1,0.004071563416059409,1,0.0020030935128508842,1,0.02809873777098154,1,0.01627142443512851,1,0.029664282112731533,1,0.14091660041270782,0,0.4635255901190875,0,0.3467773696453069,0,0.1086310109699028,0,0.15469370062923546,0,0.013099907022038657,1,0.11701002200475075,0,0.22192968776047733,0
4,46255,22,0.8205815587504054,0.911651811994292,0.6162218733647304,0,0.23073616988601464,0,0.14621754688696997,0,0.19221315006738054,0,0.02200524538348829,1,0.16628510991512035,0,0.3644828655310689,0,0.7874275690428589,0,0.11371611050682101,0,0.05647862650518365,1,0.060307256568742446,1,0.00014340494008696636,1,0.016583108542948977,1,0.14860535543914621,0,0.7467406252016837,0,0.12508247610086876,0,0.048590616482353854,1,0.08869644544438682,1,0.00932513717810314,1,0.02849647776509856,1,0.16111687557289112,0,0.36880543721023207,0,0.3939134958097743,0,0.21842751423797024,0,0.21842751423797024,0,0.018202865321131342,1,0.2478605318970607,0,0.32417506460416934,0
5,46255,23,0.8372500270241054,0.9277970364059693,0.578805035831312,0,0.31398170056211283,0,0.03486476472767697,1,0.504994650599696,0,0.10669460294363362,0,0.41911599931875837,0,0.716038034361085,0,0.7779548765866803,0,0.13045978703527367,0,0.033941357598921806,1,0.05578884220399702,1,0.0001073544858249259,1,0.04378827266528229,1,0.17992076711331983,0,0.9565073575327196,1,0.022604415019987667,1,0.03262841344834222,1,0.09586449104088043,1,0.019804160146415964,1,0.1237093134655467,0,0.3317504075199428,0,0.17802940581192472,0,0.5667136674497113,0,0.4869699279487831,0,0.4869699279487831,0,0.006824842941744555,1,0.3066921127487955,0,0.37898285226871264,0
6,46259,21,0.8399014245876478,0.9293070780789436,0.6789480444507424,0,0.1446011928049486,0,0.2680454176804542,0,0.2680454176804542,0,0.06491451820464104,1,0.10492116579073096,0,0.8532370331457207,0,0.5752467828343951,0,0.21292880985316853,0,0.09136659120457502,1,0.09136659120457502,1,0.004420631742653225,1,0.0032637349813351424,1,0.1457612394679778,0,0.6401605948456245,0,0.1499284356721673,0,0.08830934732182083,1,0.08830934732182083,1,0.004330858619147657,1,0.009764213591409554,1,0.14483473613981285,0,0.26188077673515775,0,0.4298211666525701,0,0.2599879661966319,0,0.2599879661966319,0,0.015020938909786258,1,0.0957750563251466,1,0.3071085771418104,0
7,46259,21,0.840160833567522,0.9204807584510182,0.7286063569682152,0,0.1356968215158924,0,0.25,0,0.25,0,0.0211412677590209,1,0.13134270101483214,0,0.6090355425612652,0,0.7584700617941614,0,0.11991378056360008,0,0.030118866231561348,1,0.0602089385599648,1,0.008734078102164491,1,0.007894532558690548,1,0.0782599815891728,0,0.8365762348614072,1,0.0730713592536707,1,0.05001650809258029,1,0.05001650809258029,1,0.008009549145393813,1,0.07758782304377221,1,0.17550109000197045,0,0.27019278562086524,0,0.4271695103525734,0,0.259719066385131,0,0.259719066385131,0,0.016443016232034313,1,0.23464224623608043,0,0.29232421746977727,0
8,46256,22,0.826725181598063,0.9148060328519443,0.14138119650618064,0,0.5108195076557562,0,0.3112415031422342,0,0.3112415031422342,0,0.054032885465764936,1,0.12587412587412583,0,0.45581898863416526,0,0.9249438961379175,1,0.038070696475677734,1,0.015371486832468473,1,0.02013161144835776,1,0.0013231618734242806,1,0.0017540664941820827,1,0.0997370531987804,0,0.7957472909425476,0,0.11671583374711564,0,0.06489448560035083,1,0.11360743058687092,0,0.010162314346912005,1,0.0532525389955113,1,0.12793381902138734,0,0.2767428096123426,0,0.4514731196928046,0,0.25748616820984627,0,0.25748616820984627,0,0.013235398548075358,1,0.06388925340178009,1,0.24637455338826686,0
9,46255,23,0.8340503729326559,0.9210765305110048,0.686788990825688,0,0.2060598744567842,0,0.10857142857142854,0,0.3544061302681992,0,0.03575896637040123,1,0.17341779441405125,0,0.615018700327921,0,0.8269710618974911,1,0.09058622314022502,1,0.04580938200707951,1,0.059598760590298616,1,0.0034729425686802623,1,0.009038127059106893,1,0.1461710463157796,0,0.7783135571618597,0,0.10959432714518719,0,0.08683221836094313,1,0.08683221836094313,1,0.0013948642943837908,1,0.041576021309171485,1,0.1337102890579016,0,0.4338697655269137,0,0.33502427845701194,0,0.16069409787980615,0,0.16069409787980615,0,0.013072202107715994,1,0.08406839352222295,1,0.19176960534471238,0
10,46258,22,0.8432919711185092,0.929110302200398,0.7868357999569633,0,0.11288335866460147,0,0.20174909529553675,0,0.20174909529553675,0,0.015419161161237219,1,0.19495133819951338,0,0.1815152947836752,0,0.7996484740719039,0,0.10989851274186974,0,0.019265574782690864,1,0.053388696850831474,1,0.005849159622532282,1,0.01998564899892219,1,0.09419627541293007,0,0.7096209716409905,0,0.14377612417395125,0,0.006544729980570985,1,0.04414940227890654,1,0.007698383168025985,1,0.06314727501409623,1,0.16178724986634857,0,0.3214563206871885,0,0.4376881286813599,0,0.2751852150909426,0,0.2751852150909426,0,0.046792004109093545,1,0.18026460364006736,0,0.25773628052686437,0
