Model,A_SR,A_TPR,A_PPV,Accuracy,DI(Race),DI(Sex),DI(Eth),DI(Age),Verdicts,ΔAcc(pp)
Standard,0.6,0.8,0.4,0.8281268578470052,0.907530984980458,0.9644429234662452,0.974267304251638,0.8010538722156585,20,4.947412796039485
Reweigh_1,0.8,0.0,0.0,0.8248462378260353,0.8839368544663588,0.9328732978031788,0.9619077966734612,0.8012928607268791,20,5.275474798136481
Reweigh_1,0.9,0.0,0.0,0.8142801552214284,0.9213009078128576,0.9609189482709568,0.9842484624460558,0.8852733718887786,20,6.332083058597171
Standard,0.5,1.0,0.4,0.8255974835968999,0.8865719702750844,0.980702198214583,0.9861095767125496,0.8333416496911494,19,5.200350221050021
Standard,0.5,0.8,0.0,0.8236301925134846,0.9409443614980584,0.9788445156379616,0.9846359939046444,0.823299721610773,19,5.397079329391552
Reweigh_1,0.8,0.4,0.0,0.823343746284306,0.9337117351381348,0.9523449113577136,0.9662547582539008,0.8017472240864839,19,5.425723952309413
Reweigh_3,0.3,0.4,0.0,0.8204576654091857,0.8268888260178374,0.9172570600109352,0.968367663678528,0.8196770632990075,19,5.714332039821435
Reweigh_3,0.5,0.4,0.0,0.8198469404299936,0.8728612457619995,0.9358322713119146,0.9749551594157768,0.8104351717125203,19,5.775404537740647
Reweigh_3,0.6,0.4,0.0,0.8192956665549707,0.9023990282417248,0.9457913727705258,0.9771613303228868,0.8054431438275714,19,5.830531925242943
Reweigh_3,0.3,0.0,0.0,0.8001902435333412,0.8572840213364701,0.9385207158546994,0.996969841977632,0.9538837139906872,19,7.741074227405886
