Metric,Attribute,Threshold,Mean,SD,VFR (%),Margin (σ),Verdict,% Subsets Fair
DI,Race,0.8,0.6021,0.1064,3.3,1.7,UNFAIR,3.3
DI,Sex,0.8,0.7587,0.0157,3.3,3.0,UNFAIR,3.3
DI,Ethnicity,0.8,0.8395,0.0238,10.0,1.5,FAIR,90.0
DI,Age Group,0.8,0.2916,0.0134,0.0,49.2,UNFAIR,0.0
SPD,Race,0.1,0.2009,0.0547,3.3,1.7,UNFAIR,3.3
SPD,Sex,0.1,0.1258,0.0097,3.3,2.9,UNFAIR,3.3
SPD,Ethnicity,0.1,0.0742,0.0116,3.3,2.2,FAIR,96.7
SPD,Age Group,0.1,0.436,0.0097,0.0,40.1,UNFAIR,0.0
EOPP,Race,0.1,0.1424,0.0838,46.7,0.5,UNFAIR,46.7
EOPP,Sex,0.1,0.037,0.0095,0.0,6.8,FAIR,100.0
EOPP,Ethnicity,0.1,0.0195,0.0128,0.0,6.4,FAIR,100.0
EOPP,Age Group,0.1,0.1857,0.0254,0.0,4.2,UNFAIR,0.0
EOD,Race,0.1,0.149,0.0812,33.3,0.7,UNFAIR,33.3
EOD,Sex,0.1,0.0511,0.007,0.0,7.2,FAIR,100.0
EOD,Ethnicity,0.1,0.029,0.0098,0.0,9.7,FAIR,100.0
EOD,Age Group,0.1,0.1862,0.0245,0.0,4.2,UNFAIR,0.0
TI,Race,0.1,0.0245,0.012,0.0,5.6,FAIR,100.0
TI,Sex,0.1,0.005,0.0022,0.0,42.9,FAIR,100.0
TI,Ethnicity,0.1,0.0035,0.0029,0.0,52.1,FAIR,100.0
TI,Age Group,0.1,0.0161,0.003,0.0,21.4,FAIR,100.0
PP,Race,0.1,0.1126,0.0684,50.0,0.3,UNFAIR,50.0
PP,Sex,0.1,0.007,0.0056,0.0,12.3,FAIR,100.0
PP,Ethnicity,0.1,0.0102,0.007,0.0,12.7,FAIR,100.0
PP,Age Group,0.1,0.0707,0.0255,30.0,0.5,FAIR,70.0
CAL,Race,0.05,0.5494,0.1583,0.0,3.2,UNFAIR,0.0
CAL,Sex,0.05,0.0707,0.0161,10.0,1.3,UNFAIR,10.0
CAL,Ethnicity,0.05,0.0795,0.021,10.0,1.3,UNFAIR,10.0
CAL,Age Group,0.05,0.2228,0.0682,0.0,3.2,UNFAIR,0.0
