Attribute,Metric,Subset_1,Subset_2,Subset_3,Subset_4,Subset_5,Subset_6,Subset_7,Subset_8,Subset_9,Subset_10,Subset_11,Subset_12,Subset_13,Subset_14,Subset_15,Subset_16,Subset_17,Subset_18,Subset_19,Subset_20,Subset_21,Subset_22,Subset_23,Subset_24,Subset_25,Subset_26,Subset_27,Subset_28,Subset_29,Subset_30,Mean,SD,Fair_Count
Race,DI,0.5912,0.5753,0.6524,0.5827,0.5893,0.3103,0.6731,0.5007,0.5576,0.645,0.5357,0.766,0.6864,0.4258,0.7116,0.5361,0.6524,0.7493,0.7815,0.708,0.5864,0.6692,0.6999,0.5289,0.4562,0.6345,0.534,0.4662,0.6256,0.6316,0.6021,0.1064,0
Race,SPD,0.2001,0.2137,0.1682,0.2073,0.2017,0.3509,0.1637,0.2624,0.2297,0.1738,0.2281,0.1204,0.1563,0.2839,0.1594,0.2505,0.1682,0.1261,0.1131,0.1411,0.2041,0.1691,0.1467,0.2344,0.2823,0.197,0.2297,0.2711,0.189,0.1842,0.2009,0.0547,0
Race,EOPP,0.25,0.1288,0.0949,0.0658,0.175,0.2415,0.1207,0.0846,0.0969,0.0791,0.1375,0.1174,0.0662,0.4091,0.0945,0.0548,0.0737,0.1011,0.052,0.094,0.2302,0.2367,0.0882,0.2947,0.2,0.0893,0.1688,0.213,0.0791,0.1353,0.1424,0.0838,14
Race,EOD,0.25,0.1288,0.0949,0.0658,0.175,0.2415,0.1207,0.0846,0.0969,0.0791,0.1375,0.1174,0.0662,0.4091,0.1855,0.1377,0.0737,0.1011,0.0653,0.094,0.2302,0.2367,0.0882,0.2947,0.2,0.0996,0.1688,0.213,0.0791,0.1353,0.149,0.0812,12
Race,TI,0.0232,0.0251,0.0138,0.0223,0.0104,0.0044,0.0162,0.0126,0.023,0.0126,0.0314,0.0176,0.0189,0.0206,0.0501,0.019,0.0324,0.0426,0.03,0.0223,0.0213,0.0466,0.0151,0.0521,0.0176,0.0385,0.0299,0.0175,0.0324,0.0145,0.0245,0.012,30
Race,PP,0.0758,0.1538,0.0644,0.0821,0.259,0.0772,0.1629,0.0354,0.0465,0.0427,0.0425,0.0844,0.0873,0.1361,0.1495,0.1305,0.0595,0.1603,0.0201,0.192,0.2568,0.0643,0.1474,0.2114,0.2441,0.0607,0.0889,0.1222,0.0527,0.067,0.1126,0.0684,17
Race,CAL,0.5503,0.2536,0.4602,0.6069,0.6931,0.4299,0.5668,0.6222,0.6351,0.6673,0.452,0.3886,0.4543,0.546,0.8309,0.4238,0.4193,0.7639,0.4547,0.567,0.7088,0.3886,0.8657,0.792,0.4055,0.556,0.2597,0.6882,0.6115,0.4199,0.5494,0.1583,0
Sex,DI,0.7658,0.7431,0.7825,0.7788,0.7546,0.7665,0.7731,0.7531,0.7519,0.7465,0.7351,0.7535,0.756,0.7686,0.7483,0.7777,0.7468,0.7278,0.7657,0.7707,0.7716,0.7298,0.7751,0.751,0.7628,0.7462,0.7499,0.7843,0.7802,0.7441,0.7587,0.0157,0
Sex,SPD,0.1216,0.134,0.1108,0.1121,0.1278,0.1222,0.1179,0.1298,0.1298,0.1296,0.1412,0.1286,0.1276,0.1199,0.1347,0.1155,0.1305,0.145,0.122,0.1165,0.1168,0.1435,0.1167,0.1301,0.1233,0.1364,0.1329,0.1118,0.1116,0.135,0.1258,0.0097,0
Sex,EOPP,0.0215,0.0556,0.0358,0.034,0.0477,0.0228,0.0338,0.0344,0.0408,0.0435,0.0529,0.0411,0.0502,0.0314,0.0393,0.0351,0.0316,0.052,0.0224,0.0282,0.0409,0.0398,0.0302,0.0395,0.0308,0.0516,0.0412,0.0268,0.0251,0.0315,0.037,0.0095,30
