Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776766508490699,0.9527143437730117,0.862706322679268,0.8724495429728237,0.8531783168958318,151.55232048034668
LightGBM,0.8774010139115583,0.9525884273497587,0.8623810910502815,0.8722234494268954,0.8527583807261296,141.63671159744263
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,9.915608882904053
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,27.773228883743286
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,527.9699091911316
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.515760183334351
Random Forest,0.856593127452358,0.9369992898372916,0.8383728863115832,0.8514637103758878,0.8256784968684759,17.76395559310913
CatBoost,0.8541015857230876,0.9350350305565512,0.8349767396367593,0.8511534578810275,0.8194034506754974,5.673187494277954
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,3.9413814544677734
DNN (PyTorch),0.8290834801595451,0.9112556930095641,0.8068857704661757,0.8216062279261802,0.7926835121061598,215.84490609169006
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,234.3223807811737
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.34179115295410156
