Model,Short_Prec,Short_Rec,Short_F1,Long_Prec,Long_Rec,Long_F1,Macro_F1,Weighted_F1
LGB-XGB Blend,0.8814593486501122,0.896508654602675,0.8889203104887468,0.8710574684474942,0.8529143570177333,0.8618904435122093,0.875405377000478,0.8767445552271809
LightGBM,0.8812547109642257,0.8968725413060582,0.8889950380674784,0.8714068478367507,0.8525664099056943,0.8618836800291103,0.8754393590482943,0.8767825746998121
XGBoost,0.879626406775728,0.8947482297403619,0.887122881603838,0.8688448246280546,0.850622705348787,0.8596372102046755,0.8733800459042568,0.8747418066822886
Stacking Ensemble,0.8755043338931681,0.8920535011801731,0.88370144484173,0.8651994497936726,0.8452475223765987,0.8551071190143836,0.8694042819280567,0.8708209703116314
GradientBoosting,0.8685420325741653,0.8900078678206137,0.8791439382531949,0.8616406665594497,0.8356609795311113,0.8484519944694511,0.863797966361323,0.8653185799435524
HistGradientBoosting,0.8649639590351963,0.8862903225806451,0.8754972870834082,0.8569749749502097,0.8311976579559907,0.8438895148765112,0.8596934009799597,0.8612593887212536
Random Forest,0.8624406284252831,0.882169551534225,0.8721935377225479,0.8521229326092323,0.8283420920020157,0.8400642468637066,0.8561288922931273,0.8577207183570481
CatBoost,0.8558757045981287,0.8825334382376082,0.869000179153331,0.8510333129622469,0.8186955582751422,0.8345512918513989,0.851775735502365,0.853482484553292
DNN (PyTorch),0.8438166568541343,0.8598249409913454,0.8517455879272635,0.8249382807030473,0.8058455114822547,0.8152801296407567,0.8335128587840102,0.8353195176109447
DecisionTree,0.8448758490890504,0.8697285601888277,0.8571220880926189,0.8351564930620372,0.8051856117870084,0.8198972516966909,0.8385096698946549,0.840353951645552
AdaBoost,0.8256765439564593,0.8593922108575924,0.8421970777593585,0.8194686466146425,0.778645645861829,0.7985357450473729,0.8203664114033657,0.8225295854273988
Logistic Regression,0.8136895693927532,0.8299665617623918,0.8217474707148212,0.7873745572609209,0.7681592397955511,0.7776482163028824,0.7996978435088518,0.8018827140956571
