Model,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_Fair,Fair_DI
Logistic Regression,RACE,0.5480604289350598,0.22584295131927024,0.16856282875700346,0.16856282875700346,0.006762153985568481,0.06595286517526022,0.2186275872784141,2,N
Logistic Regression,SEX,0.6837280960810765,0.17379969170743959,0.08670599419126179,0.13110025164054925,0.009707241377067327,0.0257491827858215,0.09141516141058292,3,N
Logistic Regression,ETHNICITY,0.7580355382655162,0.11388099030052856,0.06820874197708071,0.07371615285504639,0.0003434444171413059,0.01671885943218865,0.07793303851107738,4,N
Logistic Regression,AGE_GROUP,0.4647056727508575,0.3389202719482671,0.17856498060521342,0.19935699529120818,0.011797287305848017,0.05539543192836793,0.08064369199555094,2,N
Random Forest,RACE,0.6089458489388264,0.19572124343081576,0.09619830008179531,0.09619830008179531,0.005881057013754937,0.06445769050958383,0.160220961188053,4,N
Random Forest,SEX,0.7500956124574902,0.13000346442273014,0.044315614181789975,0.06130977186772221,0.0037145476537538136,0.000992219348355139,0.04243726346473453,5,N
Random Forest,ETHNICITY,0.8218654217515757,0.08200300252700776,0.031576949693478906,0.031576949693478906,0.0008633595628275842,0.006211080661518542,0.04366734191408517,7,Y
Random Forest,AGE_GROUP,0.5062328330872596,0.30120619213586564,0.11387867812582719,0.11670561843648812,0.0038944186675089476,0.049062084711135046,0.039108815813366116,3,N
HistGradientBoosting,RACE,0.6435084842331673,0.178176494387844,0.0744013268285113,0.0744013268285113,0.007352183109838414,0.0943297079034171,0.21727731300467984,4,N
HistGradientBoosting,SEX,0.7503652719599204,0.12954678560634436,0.0425138327250405,0.060603765719080466,0.0039263567845061464,0.0006945061320005053,0.03858809889340159,5,N
HistGradientBoosting,ETHNICITY,0.829074943074491,0.07834573996357846,0.02613139451898705,0.027908938729211755,0.0012140651542913716,0.007891574108628174,0.029353538469436335,7,Y
HistGradientBoosting,AGE_GROUP,0.5066480482865818,0.3001813415209166,0.10958181856691629,0.11459892561793707,0.003817470326978066,0.04513310454871988,0.03574073294320124,3,N
XGBoost,RACE,0.6446939684418785,0.18112768510024352,0.03228365789250787,0.03469494671522187,0.005551440386482122,0.06531761905692623,0.09904686168388088,4,N
XGBoost,SEX,0.7599953341629909,0.1248145939514913,0.03540138671666937,0.05206109158691831,0.0050540960847698865,0.002150712926433207,0.031089849175109874,5,N
XGBoost,ETHNICITY,0.8335709176384807,0.07690185060887161,0.017198579808611947,0.0283877934395408,0.002962543118569423,0.0028360353065581823,0.040245135112967456,7,Y
XGBoost,AGE_GROUP,0.5271008138851299,0.2857864670805181,0.08506620048841773,0.0914991705804746,0.005413500047008794,0.051845096979806105,0.03364733319071678,5,N
