Group,N,Selection_Rate,TPR,FPR,Accuracy
Asian/PI × Female,7641,0.5995288574793876,0.8881607688947138,0.16813581456088803,0.8655935087030493
Native American × Female,998,0.5490981963927856,0.8977272727272727,0.1574468085106383,0.8717434869739479
White × Female,12086,0.5374813834188317,0.8705828361633777,0.1450711839971166,0.8633956644050969
Black × Female,46860,0.5027742210840802,0.8710254118247989,0.1325373389823255,0.8692488262910798
Asian/PI × Male,15520,0.46681701030927836,0.852156602521566,0.1031934877896055,0.8751288659793814
Other/Unknown × Female,268,0.4626865671641791,0.8648648648648649,0.17834394904458598,0.8395522388059702
Black × Male,73901,0.40720693901300387,0.8397956889074496,0.092373515383896,0.879054410630438
Native American × Male,2293,0.3423462712603576,0.8323057953144266,0.07422402159244265,0.8927169646750981
White × Male,25015,0.3224465320807515,0.8190263405456256,0.06668281751559567,0.8944633220067959
Other/Unknown × Male,444,0.25225225225225223,0.7833333333333333,0.05555555555555555,0.9009009009009009
