Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Logistic Regression,RACE,DI,0.552154,0.051481,0.8,0.2478,4.8,0.0,0.0,UNFAIR
Logistic Regression,RACE,SPD,0.223645,0.026343,0.1,0.1236,4.7,0.0,0.0,UNFAIR
Logistic Regression,RACE,EOPP,0.172862,0.043604,0.1,0.0729,1.7,0.0,0.0,UNFAIR
Logistic Regression,RACE,EOD,0.173282,0.043194,0.1,0.0733,1.7,0.0,0.0,UNFAIR
Logistic Regression,RACE,TI,0.011554,0.007083,0.1,0.0884,12.5,0.0,100.0,FAIR
Logistic Regression,RACE,PP,0.094787,0.046621,0.1,0.0052,0.1,0.4667,53.3,FAIR
Logistic Regression,RACE,CAL,0.262387,0.04271,0.05,0.2124,5.0,0.0,0.0,UNFAIR
Logistic Regression,SEX,DI,0.683917,0.005808,0.8,0.1161,20.0,0.0,0.0,UNFAIR
Logistic Regression,SEX,SPD,0.173571,0.00418,0.1,0.0736,17.6,0.0,0.0,UNFAIR
Logistic Regression,SEX,EOPP,0.086132,0.004535,0.1,0.0139,3.1,0.0333,96.7,FAIR
Logistic Regression,SEX,EOD,0.130621,0.003938,0.1,0.0306,7.8,0.0,0.0,UNFAIR
Logistic Regression,SEX,TI,0.00965,0.001058,0.1,0.0903,85.4,0.0,100.0,FAIR
Logistic Regression,SEX,PP,0.024962,0.004058,0.1,0.075,18.5,0.0,100.0,FAIR
Logistic Regression,SEX,CAL,0.093805,0.006271,0.05,0.0438,7.0,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,DI,0.757773,0.008279,0.8,0.0422,5.1,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,SPD,0.113956,0.004214,0.1,0.014,3.3,0.0,0.0,UNFAIR
Logistic Regression,ETHNICITY,EOPP,0.068303,0.005651,0.1,0.0317,5.6,0.0,100.0,FAIR
Logistic Regression,ETHNICITY,EOD,0.074652,0.00377,0.1,0.0253,6.7,0.0,100.0,FAIR
