Seed,Accuracy,AUC,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,0.8666619826402776,0.9451578377199176,0.6358100916503321,0,0.18342365532139704,0,0.07365450083896685,1,0.07365450083896685,1,0.006333178858717772,1,0.09248088072732197,1,0.13534810523210283,0,0.751320467782036,0,0.12902543633639518,0,0.04345415966382393,1,0.05650396288412235,1,0.0038379813331392565,1,0.0010458447381723746,1,0.04561271438240777,1,0.8244489028558926,1,0.08061510427386903,1,0.02720312905027167,1,0.029755843505281807,1,0.0015895881192033653,1,0.004056543447887306,1,0.02699016833190271,1,0.511300544992423,0,0.2964074865214708,0,0.1022943748832672,0,0.10750821594521016,0,0.004027316771539467,1,0.044806926346048215,1,0.03964825173575892,1
8,0.8661539459319231,0.9451025216197035,0.6428753830439223,0,0.17944891378329225,0,0.0670850185413292,1,0.0670850185413292,1,0.006164470345457411,1,0.09670046399725041,1,0.11970172597690198,0,0.7506771336788995,0,0.12934820185158175,0,0.043631288165551285,1,0.0571948773025103,1,0.0037602255716350785,1,0.0005325220676380971,1,0.04103513241510548,1,0.8237676065668083,1,0.08089779385647577,1,0.027597708725276116,1,0.03009291268873171,1,0.001623192972979172,1,0.0037850433005088835,1,0.028907061801943135,1,0.5101378685799598,0,0.29721770704550343,0,0.10501871392749218,0,0.10726034179084047,0,0.0038062444252417726,1,0.04579518367902047,1,0.04474380044879189,1
15,0.866926810286122,0.945258319260256,0.6480758004834019,0,0.17694215721992945,0,0.062161139831042656,1,0.062161139831042656,1,0.006111729105240743,1,0.09570668186731013,1,0.0908067692716101,0,0.7508055654602172,0,0.12939542116251557,0,0.043388337680580036,1,0.057161537854399175,1,0.003798770304370841,1,0.0003609858333301075,1,0.04467352143992409,1,0.8231075990457923,1,0.08129556163598273,1,0.02778702680477163,1,0.030440023830924715,1,0.0015905023276185856,1,0.003249274925169243,1,0.026870738830731322,1,0.5096935966649032,0,0.2978830309133153,0,0.10398236111918113,0,0.10868568915356266,0,0.003999112127318252,1,0.04382327403696562,1,0.042160479950805185,1
22,0.866926810286122,0.94530608882855,0.6334015461244724,0,0.1845259175027374,0,0.07947715714706005,1,0.07947715714706005,1,0.006618942064148238,1,0.09470987762085814,1,0.10527549874602676,0,0.7524162776910156,0,0.1285590510089819,0,0.04227128215856313,1,0.05654244657426702,1,0.0038273579935526533,1,0.0010370186165630235,1,0.046889754890625523,1,0.8242198159106506,1,0.08085637263845563,1,0.02686385535763769,1,0.03033167002700872,1,0.0016186922984639668,1,0.00342523584571941,1,0.02910642421750076,1,0.5106695915839187,0,0.29741967312062095,0,0.10347659067888149,0,0.1081294964509276,0,0.003860122832681015,1,0.044831718221568284,1,0.04206183658683782,1
29,0.8668457405986185,0.9451471609596223,0.6450054250855958,0,0.17856253174529635,0,0.0744013268285113,1,0.0744013268285113,1,0.006458744690041408,1,0.10507106627278295,0,0.13654076055894004,0,0.750737945760087,0,0.12951869845602426,0,0.04262081623077918,1,0.0581284750906734,1,0.003843217382721864,1,0.0005126467149209057,1,0.04168104326040545,1,0.8233279299222588,1,0.08124032756790261,1,0.02807206243422533,1,0.030153812339226024,1,0.0015651712317640357,1,0.0037689117386527915,1,0.02644474958136389,1,0.5109586138002226,0,0.29700345411257545,0,0.10293062208408521,0,0.10789381545413239,0,0.004077667154808708,1,0.044799868751079774,1,0.03659354205148113,1
36,0.8667862894944495,0.9452401225178998,0.6457259776787136,0,0.17800124337260093,0,0.07231280046814026,1,0.07231280046814026,1,0.006661394667067853,1,0.09983940610390729,1,0.08217756791149244,0,0.7509943200707698,0,0.1292790605064908,0,0.04351112858412809,1,0.056883041040603086,1,0.00373640340576651,1,0.0007116299287168726,1,0.043543292819537394,1,0.8242333691774132,1,0.08075201922951775,1,0.027385117534621473,1,0.02982606625183387,1,0.00161326389582047,1,0.004010322084208484,1,0.02707188859458254,1,0.5097981950005211,0,0.2977947525654563,0,0.10415467482485685,0,0.10850130768248219,0,0.003999439060890106,1,0.04419040660091744,1,0.038681712177245586,1
43,0.8669105963486212,0.9453328254805504,0.6366833821874087,0,0.18273283886269487,0,0.0744013268285113,1,0.0744013268285113,1,0.0066067257795913575,1,0.09429316272912514,1,0.11065403200383434,0,0.751290638201125,0,0.1291618718563477,0,0.04240337913007053,1,0.05761052815157726,1,0.0037348991253453936,1,0.00010075198864922807,1,0.04188259752839113,1,0.823911303299027,1,0.0809484792607888,1,0.027826497474394585,1,0.0298119018920759,1,0.0014784546007226979,1,0.00412190566202586,1,0.027466063619850378,1,0.5103318227731786,0,0.29749528005742626,0,0.10413142027919842,0,0.10772600211835913,0,0.003935792768216907,1,0.045007889323518735,1,0.04351413305378016,1
50,0.8667376476819474,0.9452270818761592,0.6470201214531218,0,0.17776250176463826,0,0.06783184453087365,1,0.06783184453087365,1,0.006383870734784858,1,0.10280083723570321,0,0.13939933426119577,0,0.7523739397338696,0,0.12869781756569482,0,0.04174956901836813,1,0.05735527855203913,1,0.0037961193160472376,1,0.0004442100136456961,1,0.037909835111742285,1,0.8236109662344818,1,0.0812217724626636,1,0.027344941191524974,1,0.03065433522980554,1,0.0015936289461906672,1,0.0032822350089922736,1,0.025733872667111246,1,0.5104667277320324,0,0.29785168147451435,0,0.10380153490478283,0,0.1089044071023352,0,0.003923010117443317,1,0.044775394809267066,1,0.040640951061170494,1
57,0.8668079080777836,0.9451598858940397,0.6475197508905375,0,0.17737391750661824,0,0.077388630786689,1,0.077388630786689,1,0.006107997950660818,1,0.10830781520436694,0,0.11094429901367553,0,0.7515441011098979,0,0.12890208257008923,0,0.0423425065805747,1,0.05722116151102938,1,0.00381066973073603,1,0.00015409376433572763,1,0.038408509716128914,1,0.8241596812275255,1,0.08076362384491381,1,0.02722676440714722,1,0.02995742826977535,1,0.001528095209212224,1,0.0037724902218233547,1,0.030945673938534535,1,0.5107069286726723,0,0.2969403189149475,0,0.10365183155491631,0,0.10717325261783317,0,0.003992623145187425,1,0.045209606087220355,1,0.03818577075292007,1
64,0.8665160572027715,0.9450850611344369,0.648641180232027,0,0.17726470398466238,0,0.07022427410776932,1,0.07022427410776932,1,0.00645873486605409,1,0.10112631101463487,0,0.09860737941245101,0,0.7504942023019928,0,0.12979243572644628,0,0.04358521083077449,1,0.057897035703744576,1,0.003747073207249735,1,0.00018755822447991122,1,0.03917139393175112,1,0.8235951001293711,1,0.08118837515333205,1,0.027871994595482064,1,0.030279494420334382,1,0.0014987558622107586,1,0.003832462207495446,1,0.029281293806101005,1,0.5105871370442322,0,0.2975994143084254,0,0.10412940630104317,0,0.10834927265658519,0,0.003900022500020868,1,0.04537788151571054,1,0.044793206896087456,1
