Attribute,Metric,Mean,Std,CV,Min,Max,Range,Pct_Fair
RACE,DI,0.6092727541524938,0.17097296984899454,0.28061811181236906,0.15680096618055187,0.7957990095486784,0.6389980433681266,0.0
RACE,SPD,0.2127465068302885,0.09543466891984506,0.4485839525251285,0.1072346378671229,0.5025711890688799,0.395336551201757,0.0
RACE,EOPP,0.1927666131767903,0.12280879136744889,0.6370853818696206,0.03177983125753314,0.611574644417068,0.5797948131595348,15.0
RACE,EOD,0.2345784027806666,0.12829139736885267,0.546901998854543,0.09547306438117287,0.611574644417068,0.5161015800358951,5.0
RACE,TI,0.04267960504189905,0.027023791669889285,0.6331781103259911,0.012413519753322763,0.11123615722878336,0.09882263747546059,95.0
RACE,PP,0.15940288900809488,0.08633506715481609,0.5416154480765514,0.03248338672553619,0.41043409351061017,0.377950706785074,25.0
RACE,CAL,0.5459447967424755,0.15872350461586193,0.2907317838047506,0.18284803906064565,0.8347888642225063,0.6519408251618607,0.0
SEX,DI,0.7609961265106845,0.09406069429270969,0.12360206710117737,0.5688636685181754,0.9266064528189151,0.3577427843007397,40.0
SEX,SPD,0.12662318985847648,0.048322019647023005,0.38162061547360554,0.03739856729123747,0.24114219938186005,0.20374363209062257,30.0
SEX,EOPP,0.04799779823165632,0.02605147919290468,0.5427640465333422,0.013835676252306306,0.10396698584855268,0.09013130959624638,95.0
SEX,EOD,0.07234231816679172,0.026069447538515603,0.36036234667529105,0.020264468872387836,0.12441907611139426,0.10415460723900642,80.0
SEX,TI,0.005359209136043701,0.0034415886508081784,0.6421821883496869,0.00012773313728041413,0.011603662823096057,0.011475929685815643,100.0
SEX,PP,0.013551348529808854,0.014419654465148549,1.064075241916307,0.0015925922609810739,0.06211266824856898,0.06052007598758791,100.0
SEX,CAL,0.13090996096397953,0.05225322922531339,0.39915395925976255,0.0409831982024671,0.2476478557342111,0.206664657531744,5.0
ETHNICITY,DI,0.8212416573201995,0.10267505895311557,0.1250241728946817,0.6479827682665932,0.9973983295285004,0.3494155612619072,55.00000000000001
ETHNICITY,SPD,0.08576053921543587,0.0499055793052434,0.5819177416769435,0.0013689140997403815,0.1640972687269165,0.1627283546271761,55.00000000000001
ETHNICITY,EOPP,0.0462754178425002,0.032187839153496905,0.695571010575187,0.005195806519179724,0.11118874416473079,0.10599293764555107,95.0
ETHNICITY,EOD,0.06565838912300456,0.029460301484208955,0.44869059198235833,0.015627886207001687,0.11637774675619544,0.10074986054919376,90.0
ETHNICITY,TI,0.010030578007400684,0.00882800891387751,0.8801096913222843,0.0005445310527089214,0.040053540588885314,0.03950900953617639,100.0
ETHNICITY,PP,0.0352272482783698,0.03403996047722754,0.9662963228986785,0.0009042451533882723,0.12176578465803478,0.12086153950464651,95.0
ETHNICITY,CAL,0.15857613896622558,0.06850968917547738,0.43203025134865314,0.054070834341017004,0.3493291173117431,0.2952582829707261,0.0
AGE_GROUP,DI,0.5403675268549109,0.08384559703222805,0.15516401868230817,0.378742447809446,0.6738775739682439,0.2951351261587979,0.0
AGE_GROUP,SPD,0.2804686258822989,0.04743118178100002,0.16911403773520436,0.20650628136845262,0.3647200952087065,0.1582138138402539,0.0
AGE_GROUP,EOPP,0.10045734949442886,0.04217011461154322,0.41978127856023,0.03341739159868662,0.1952467611949421,0.1618293695962555,55.00000000000001
AGE_GROUP,EOD,0.12882169277661779,0.030997457842479755,0.24062296632160118,0.07826713003329192,0.1952467611949421,0.1169796311616502,20.0
AGE_GROUP,TI,0.005885423121246993,0.004008999821205432,0.6811744438105942,0.0005219535158865335,0.012492832992477339,0.011970879476590805,100.0
AGE_GROUP,PP,0.08153395238424628,0.03706526884108817,0.45459919159088624,0.008541771748526994,0.1597074896967946,0.1511657179482676,85.0
AGE_GROUP,CAL,0.15394747668954484,0.06485877292612008,0.4213045534803812,0.07383391738179645,0.30077327760242734,0.22693936022063088,0.0
