Subset,N,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,148020,0.6499972401611745,0,0.1766098484848485,0,0.028264500836345574,1,0.028264500836345574,1,0.005242644198778214,1,0.08371358759707248,1,0.23062922900277427,0,0.7638385872497191,0,0.12213805911877856,0,0.03370417901249445,1,0.04775739247715652,1,0.004744404618785711,1,0.004562539561685397,1,0.02559349688019147,1,0.8332375083477788,1,0.07685872441045077,1,0.017589274296480495,1,0.028979003621848187,1,0.002703263635048199,1,0.0005638287169860146,1,0.03891032876686584,1,0.2917462849738886,0,0.43430747145893034,0,0.18509384621896385,0,0.18509384621896385,0,0.01353650592965737,1,0.07254536556170632,1,0.07210019520713096,0
2,148020,0.6620066025137696,0,0.17132850752940892,0,0.0493731873272939,1,0.0493731873272939,1,0.004196535715826649,1,0.08633219470538,1,0.19777356383679207,0,0.7611517425068425,0,0.12391796874631156,0,0.035549540647794364,1,0.04954823843819968,1,0.004588027394386976,1,0.0026425251255668414,1,0.025991734353291676,1,0.8299343116746942,1,0.07853387651872634,1,0.02011927530327895,1,0.027718265887462165,1,0.001996939618838775,1,0.0030193530204110086,1,0.04166741398078533,1,0.29157288778868445,0,0.43474406395592513,0,0.18342837571490722,0,0.18342837571490722,0,0.01407710206963915,1,0.06958634432415889,1,0.0957707578476722,0
3,148020,0.6378748462211075,0,0.18309960363040756,0,0.07266955537986441,1,0.07266955537986441,1,0.007179326127904402,1,0.10473196836833198,0,0.1987591419448166,0,0.7599504016570996,0,0.12474596929295495,0,0.03497874950128832,1,0.04636623924491447,1,0.004302496377700721,1,0.007587245517529206,1,0.025181005775037707,1,0.8339622196727974,1,0.07664981618644567,1,0.0181456767473972,1,0.026829301526676508,1,0.002424468124823699,1,0.003716604582371885,1,0.03535313700641052,1,0.2903667199717838,0,0.4358668654110397,0,0.18351553801841858,0,0.18351553801841858,0,0.01320594857063681,1,0.07079216072065009,1,0.053960494593009556,0
4,148020,0.6619504153307066,0,0.1714010297126347,0,0.054365079365079394,1,0.054365079365079394,1,0.007377922614969647,1,0.10747325685769105,0,0.28839144145909273,0,0.760518846760233,0,0.1242293897641159,0,0.03632202981101729,1,0.04763092473603586,1,0.004301761138792964,1,0.005387057623664648,1,0.025901376900436035,1,0.8325178659475218,1,0.07727664173995263,1,0.02036818927139117,1,0.027846267524616275,1,0.0023626287301258056,1,0.0021821082845343565,1,0.03954493502998646,1,0.29015403655230704,0,0.4364594937632304,0,0.18280020180972834,0,0.18280020180972834,0,0.013930435141263034,1,0.0793034061236304,1,0.09128788054256087,0
5,148020,0.6582351010869988,0,0.17339066284558752,0,0.06485254579062338,1,0.06485254579062338,1,0.008033487671696406,1,0.10985964007887095,0,0.215178626635732,0,0.7633783644502018,0,0.12247915065230741,0,0.03442566361830934,1,0.04988868434803313,1,0.0053617563866618645,1,0.001845399057480157,1,0.027263677747872528,1,0.8324718331436357,1,0.07724001309791745,1,0.020856002479220703,1,0.027611543688142143,1,0.002290160574735349,1,0.0025383240806393648,1,0.029875491961873113,1,0.29290310091769867,0,0.4340666492799506,0,0.18428503064967872,0,0.18428503064967872,0,0.013488103672301556,1,0.0762922929562101,1,0.08909060099450394,0
6,148020,0.6727881752542797,0,0.16544279188131072,0,0.06119719963287862,1,0.06119719963287862,1,0.00811983960832767,1,0.10846857324950798,0,0.21354949543621765,0,0.7620212322720799,0,0.1232961667889837,0,0.035437471136690046,1,0.047844256276705535,1,0.0044060812704903515,1,0.004807120884440685,1,0.026480054856149127,1,0.8337227426168916,1,0.07667047635090685,1,0.018597025529585642,1,0.026927115170744698,1,0.0024154458916683247,1,0.003585155390519068,1,0.03742869160156348,1,0.28992513590885294,0,0.43643778461603616,0,0.1854003216722504,0,0.1854003216722504,0,0.012824117715494972,1,0.06983709288775908,1,0.09739581684834953,0
7,148020,0.6709151825729196,0,0.16640455065306614,0,0.06210098947580167,1,0.06210098947580167,1,0.006999028755189325,1,0.08960618875732151,1,0.17809908317577144,0,0.7626064474568943,0,0.12298301226321123,0,0.03323547492698131,1,0.04770446926873673,1,0.0048332293666263,1,0.005178119709033924,1,0.024809956881695516,1,0.8301102964040674,1,0.07841561481673148,1,0.020652599091882884,1,0.02782265200643598,1,0.002489140575587294,1,0.002974619593828165,1,0.039295144469862264,1,0.28975900099871554,0,0.43692965727867694,0,0.18571283728380594,0,0.18571283728380594,0,0.014292872658031919,1,0.06873545365338507,1,0.05649105736210336,0
8,148020,0.6588892478239102,0,0.17197146018970322,0,0.047971636206930346,1,0.047971636206930346,1,0.005004117888619687,1,0.0995749117741418,1,0.2172638010045162,0,0.7610628360766799,0,0.12415129223545224,0,0.03582265795560646,1,0.050022183333045714,1,0.00497359978924939,1,0.0024480787179417263,1,0.026865428667664712,1,0.8295937381486034,1,0.07881028193010176,1,0.02320201713143477,1,0.026271378446541982,1,0.0012844687176070818,1,0.005369489028679952,1,0.03219342104751566,1,0.28941108145853783,0,0.4369476510960681,0,0.18622490729875352,0,0.18622490729875352,0,0.013926416133946483,1,0.07061630060787594,1,0.05393843213698979,0
9,148020,0.651734746317204,0,0.17596125855199485,0,0.06428541509592023,1,0.06428541509592023,1,0.008421822099677588,1,0.11812990160329417,0,0.2580339313779183,0,0.7636755845639024,0,0.12259182050323275,0,0.03345660206088619,1,0.04939882391458458,1,0.005323400468257418,1,0.0027196311029445974,1,0.031953959857223546,1,0.833189830847502,1,0.07710685961793046,1,0.020224148318398916,1,0.027815376151091073,1,0.002205689823490814,1,0.0022275107337036415,1,0.035221611973319966,1,0.2910059311069267,0,0.4359879746474232,0,0.18381406050517357,0,0.18381406050517357,0,0.014481806871418777,1,0.07232108641587665,1,0.05720169812493947,0
10,148020,0.6405873175308088,0,0.18251591224943836,0,0.04483468955938963,1,0.04483468955938963,1,0.005349163581008599,1,0.08097555568990189,1,0.12908774099880194,0,0.7604457548727928,0,0.12447127314606526,0,0.034002098618100884,1,0.05055287503968235,1,0.0049853775732478095,1,0.0026113070111717374,1,0.026794058819132993,1,0.8314900395314321,1,0.07784651508092444,1,0.018094844786609166,1,0.026848148386777265,1,0.0021831559057043995,1,0.00473432214699554,1,0.025892892681998236,1,0.29378804621793,0,0.43429264452810135,0,0.18248176534126903,0,0.18248176534126903,0,0.01398385035205045,1,0.0711831210283046,1,0.061521856350731596,0
