Pair,Group,N,Selection_Rate,Accuracy,TPR,FPR
RACE×AGE_GROUP,Asian/PI × 65_Plus,8057,0.6921931239915602,0.8724090852674693,0.9047873287061755,0.2022149302707137
RACE×AGE_GROUP,Native American × 65_Plus,1161,0.6640826873385013,0.8725236864771748,0.9125827814569536,0.2019704433497537
SEX×AGE_GROUP,Male × 65_Plus,43712,0.6386804538799414,0.8629895680819912,0.8969912017089685,0.19536444416827192
ETHNICITY×AGE_GROUP,Non-Hispanic × 65_Plus,15344,0.6380995828988529,0.8642466110531803,0.8991300745650372,0.194971870604782
RACE×AGE_GROUP,White × 65_Plus,12449,0.6320989637721905,0.864406779661017,0.8987227454521998,0.1922094508301405
ETHNICITY×AGE_GROUP,Hispanic × 65_Plus,63944,0.6090485424746653,0.868744526460653,0.8972125435540069,0.17421329357294202
RACE×AGE_GROUP,Black × 65_Plus,57471,0.5991369560299977,0.8679681926536862,0.8958155170888502,0.1721137521222411
RACE×SEX,Asian/PI × Female,7641,0.5946865593508703,0.8680800942285041,0.8861948449104412,0.15899444988573294
SEX×AGE_GROUP,Female × 65_Plus,35576,0.5851697773780077,0.8738756465032607,0.8984142473774092,0.15947218354220544
RACE×AGE_GROUP,Other/Unknown × 65_Plus,150,0.5733333333333334,0.84,0.8974358974358975,0.2222222222222222
RACE×SEX,Native American × Female,998,0.5370741482965932,0.8817635270541082,0.8958333333333334,0.13404255319148936
RACE×SEX,White × Female,12086,0.536405758729108,0.8638093662088366,0.8699709346795166,0.14344927013876374
RACE×ETHNICITY,Asian/PI × Hispanic,23018,0.5074289686332435,0.8727952037535841,0.8626719708271176,0.1160518626734843
RACE×SEX,Black × Female,46860,0.5015791720017072,0.8709560392658984,0.8715362022730175,0.1296272521076732
RACE×SEX,Asian/PI × Male,15520,0.46288659793814435,0.8753221649484536,0.8483078964830789,0.0991859737006888
RACE×ETHNICITY,Black × Hispanic,100543,0.45634206260008153,0.873516803755607,0.8564979039019671,0.11183090249500259
SEX×AGE_GROUP,Female × Under_65,32277,0.44508473526040215,0.864361619729219,0.8385303687635575,0.11389443651925821
RACE×SEX,Other/Unknown × Female,268,0.43656716417910446,0.8283582089552238,0.8198198198198198,0.16560509554140126
RACE×ETHNICITY,White × Hispanic,7397,0.42463160740840883,0.8886034879005003,0.8623709727869878,0.09142857142857143
RACE×ETHNICITY,Other/Unknown × Hispanic,217,0.423963133640553,0.8663594470046083,0.9090909090909091,0.15714285714285714
RACE×SEX,Black × Male,73901,0.4082759367261607,0.8794738907457273,0.8415625301166115,0.09293463013186197
RACE×AGE_GROUP,Asian/PI × Under_65,15104,0.4072431144067797,0.8732123940677966,0.8261472128118263,0.09128919860627177
RACE×ETHNICITY,Native American × Non-Hispanic,114,0.40350877192982454,0.9298245614035088,0.9318181818181818,0.07142857142857142
RACE×ETHNICITY,Native American × Hispanic,3177,0.40258105130626376,0.8892036512433114,0.857915057915058,0.08926673751328375
RACE×ETHNICITY,Black × Non-Hispanic,20218,0.38549807102581857,0.8893560193886636,0.8427285062291846,0.07943192139377425
RACE×ETHNICITY,White × Non-Hispanic,29704,0.3842916778884999,0.8841570158901159,0.8366261398176292,0.08432250839865621
RACE×SEX,Native American × Male,2293,0.3440907108591365,0.894461404273877,0.8372379778051788,0.07422402159244265
RACE×ETHNICITY,Asian/PI × Non-Hispanic,143,0.3356643356643357,0.8951048951048951,0.851063829787234,0.08333333333333333
ETHNICITY×AGE_GROUP,Hispanic × Under_65,70408,0.3284996023179184,0.8798858084308602,0.7971002753928398,0.07540029748884416
RACE×SEX,White × Male,25015,0.3227263641814911,0.8953028183090146,0.8206726246472248,0.0662588577312095
RACE×AGE_GROUP,Black × Under_65,63290,0.30404487280771053,0.8836151050718913,0.7867316884747235,0.06925949411681814
RACE×ETHNICITY,Other/Unknown × Non-Hispanic,495,0.29292929292929293,0.8727272727272727,0.7662337662337663,0.07917888563049853
ETHNICITY×AGE_GROUP,Non-Hispanic × Under_65,35330,0.2733371072742712,0.895810925559015,0.7834914611005692,0.05643404598628479
RACE×AGE_GROUP,White × Under_65,24652,0.27125588187570987,0.895464871004381,0.7818930041152263,0.05684828936758438
RACE×SEX,Other/Unknown × Male,444,0.2702702702702703,0.8963963963963963,0.8083333333333333,0.07098765432098765
RACE×AGE_GROUP,Other/Unknown × Under_65,562,0.26868327402135234,0.8790035587188612,0.7712418300653595,0.08068459657701711
RACE×AGE_GROUP,Native American × Under_65,2130,0.26009389671361505,0.9004694835680751,0.7928082191780822,0.05886157826649418
SEX×AGE_GROUP,Male × Under_65,73461,0.2507452934209989,0.8943657178639006,0.76025390625,0.053792869141767806
