Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776063904532336,0.9526814810655468,0.8626432947170498,0.8722830086845591,0.8532143114246634,161.59689569473267
LightGBM,0.8773253488698886,0.952532954546377,0.8623445933652738,0.8718728539193564,0.8530223406042281,151.26998829841614
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,10.326907396316528
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,30.984782695770264
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,588.0630111694336
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.614377975463867
Random Forest,0.856593127452358,0.9369992898372915,0.8383728863115832,0.8514637103758878,0.8256784968684759,19.136057376861572
CatBoost,0.854096181077254,0.935035068670349,0.8349696176840973,0.8511516027718231,0.8193914524992201,6.013923645019531
DNN (PyTorch),0.8373363743473891,0.9205531746192676,0.8163372408784959,0.8306364483079789,0.8025220166534687,268.9598457813263
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,4.5453901290893555
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,260.6511616706848
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.5096416473388672
