Group,N,Selection_Rate,TPR,FPR,Accuracy
Asian/PI × Female,7641,0.5944248135060856,0.8859764089121888,0.15866797257590598,0.8680800942285041
White × Female,12086,0.5373159026973358,0.8705828361633777,0.1447107586952604,0.8635611451265928
Native American × Female,998,0.5370741482965932,0.8977272727272727,0.13191489361702127,0.8837675350701403
Black × Female,46860,0.5015151515151515,0.8714510705316477,0.12958445671245775,0.8709346991037132
Asian/PI × Male,15520,0.46320876288659796,0.8485733244857332,0.09956167814652474,0.8752577319587629
Other/Unknown × Female,268,0.43656716417910446,0.8198198198198198,0.16560509554140126,0.8283582089552238
Black × Male,73901,0.4079647095438492,0.8410485399466735,0.09277097166370522,0.8793521061961272
Native American × Male,2293,0.3436546009594418,0.8335388409371147,0.07557354925775979,0.8922808547754034
White × Male,25015,0.322606436138317,0.8203198494825964,0.0662588577312095,0.8951828902658405
Other/Unknown × Male,444,0.268018018018018,0.8083333333333333,0.06790123456790123,0.8986486486486487
