Hospital,N,Accuracy,Selection_Rate,DI_RACE,DI_SEX
102,1931,0.8591403417918178,0.48213360952874157,0.7739355445777465,0.6972122721731409
105,930,0.9032258064516129,0.7247311827956989,0.9004689942678479,0.9180412181771426
112,169,0.863905325443787,0.5443786982248521,0.5223880597014925,0.9058823529411766
1000,1756,0.8542141230068337,0.41116173120728927,0.3452380952380952,0.7639015817223198
2001,1001,0.8481518481518482,0.3866133866133866,0.5588235294117647,0.9774522949974213
6000,151,0.8940397350993378,0.271523178807947,0.5899159663865546,0.6498599439775911
7000,1820,0.9038461538461539,0.16428571428571428,0.14285714285714285,0.0
15001,558,0.8835125448028673,0.43010752688172044,0.43963963963963965,0.8881476401271899
19000,549,0.8633879781420765,0.5919854280510018,0.0,0.8783863368669022
20000,243,0.8847736625514403,0.32510288065843623,0.18076923076923077,0.48644520809469266
27000,953,0.8782791185729276,0.4260230849947534,0.5098039215686274,0.9119218187088491
29000,1503,0.8875582168995343,0.42248835662009315,0.0,0.8022959439661229
30000,173,0.7861271676300579,0.6878612716763006,0.8387799564270153,0.8842512077294685
34000,224,0.8616071428571429,0.3169642857142857,0.0,0.4652394106813996
35000,1005,0.8676616915422886,0.5194029850746269,0.5031605562579013,0.9633046471600688
38001,108,0.8333333333333334,0.37962962962962965,0.4086021505376344,0.7482758620689656
40000,1118,0.8747763864042933,0.313953488372093,0.766818700114025,0.9317647058823529
42000,690,0.8855072463768116,0.32463768115942027,0.4758394758394759,0.4539254559873116
47000,731,0.8727770177838577,0.5321477428180574,0.3216783216783217,0.9185432304698361
56000,526,0.8954372623574145,0.49619771863117873,,0.9719122023809523
58000,335,0.8985074626865671,0.573134328358209,0.6729776247848536,0.7221719457013575
61000,150,0.8933333333333333,0.5133333333333333,0.0,0.7499999999999999
63000,174,0.8908045977011494,0.23563218390804597,,0.5571428571428572
64000,762,0.8490813648293963,0.41732283464566927,0.0,0.6737461828385926
71000,610,0.898360655737705,0.21639344262295082,0.0,0.3361204013377926
76000,982,0.8625254582484725,0.5030549898167006,0.23846153846153847,0.8567195767195767
81001,525,0.8457142857142858,0.4685714285714286,0.762286995515695,0.7011862172848804
85000,355,0.8760563380281691,0.6253521126760564,0.0,0.8691673370876911
91001,688,0.8793604651162791,0.40406976744186046,0.3492063492063492,0.8981662591687042
95002,713,0.85273492286115,0.5385694249649369,0.8333333333333334,0.875925377554042
95003,110,0.9727272727272728,0.03636363636363636,0.0,0.11320754716981132
108000,106,0.839622641509434,0.6509433962264151,0.46666666666666673,0.869281045751634
109000,434,0.956221198156682,0.4423963133640553,0.43316831683168316,0.9117180057161003
114001,1850,0.86,0.46054054054054056,0.6350806451612904,0.7151514337158367
117000,1733,0.9347951529140219,0.482400461627236,0.0,0.8864611997798567
118000,3019,0.8688307386551838,0.5097714474991719,0.0,0.958597048439908
