Fold,N_val,N_hospitals,Acc,AUC,DI_RACE,V_DI_RACE,SPD_RACE,V_SPD_RACE,EOPP_RACE,V_EOPP_RACE,EOD_RACE,V_EOD_RACE,TI_RACE,V_TI_RACE,PP_RACE,V_PP_RACE,CAL_RACE,V_CAL_RACE,DI_SEX,V_DI_SEX,SPD_SEX,V_SPD_SEX,EOPP_SEX,V_EOPP_SEX,EOD_SEX,V_EOD_SEX,TI_SEX,V_TI_SEX,PP_SEX,V_PP_SEX,CAL_SEX,V_CAL_SEX,DI_ETHNICITY,V_DI_ETHNICITY,SPD_ETHNICITY,V_SPD_ETHNICITY,EOPP_ETHNICITY,V_EOPP_ETHNICITY,EOD_ETHNICITY,V_EOD_ETHNICITY,TI_ETHNICITY,V_TI_ETHNICITY,PP_ETHNICITY,V_PP_ETHNICITY,CAL_ETHNICITY,V_CAL_ETHNICITY,DI_AGE_GROUP,V_DI_AGE_GROUP,SPD_AGE_GROUP,V_SPD_AGE_GROUP,EOPP_AGE_GROUP,V_EOPP_AGE_GROUP,EOD_AGE_GROUP,V_EOD_AGE_GROUP,TI_AGE_GROUP,V_TI_AGE_GROUP,PP_AGE_GROUP,V_PP_AGE_GROUP,CAL_AGE_GROUP,V_CAL_AGE_GROUP
1,46255,21,0.8262458112636472,0.9244440896177396,0.7195383390322732,0,0.17639125640745074,0,0.20719844357976658,0,0.20719844357976658,0,0.05587368174048796,1,0.3145580589254766,0,0.6052614422454426,0,0.7605614916725988,0,0.14989228571586155,0,0.03534295815645894,1,0.11495291138097127,0,0.0097750678865232,1,0.0037964669993335587,1,0.19014282847301678,0,0.8264259464279816,1,0.09762957064307365,1,0.0073602109947561445,1,0.05654589831110973,1,0.007260825737951948,1,0.023377489081409464,1,0.2011034012375772,0,0.5797439607803361,0,0.29077820615020367,0,0.053038464310842914,1,0.17231701882370337,0,0.00959963056727145,1,0.09291212249207448,1,0.22622159966070532,0
2,46257,21,0.8372354454460946,0.9258436118946214,0.5556640176255004,0,0.2692974840061856,0,0.07426489255260371,1,0.11574539363484088,0,0.01966839490855902,1,0.11309523809523814,0,0.6956909771550722,0,0.7801371796248243,0,0.13310593621547856,0,0.04163210419530661,1,0.10201448279282666,0,0.005769069046544353,1,0.011663546370071942,1,0.1429602431423318,0,0.841982585495998,1,0.08530041451835485,1,0.03118764057996859,1,0.058152354641758636,1,0.0021455447508901687,1,0.008933654220718568,1,0.12764692838424796,0,0.5958519766868648,0,0.27267009633858014,0,0.06794688013358219,1,0.1540181272750727,0,0.006488363674843123,1,0.0597246792183771,1,0.13689760560594633,0
3,46258,22,0.8224739504518137,0.9078675812416303,0.7319299002971372,0,0.18229911155887318,0,0.10910228433378932,0,0.2413558861490388,0,0.053310026909214575,1,0.11622762541585019,0,0.41929273425227553,0,0.8470863536229886,1,0.08826330623947964,1,0.0279866053134048,1,0.07347525952930128,1,0.006469416924236457,1,0.013322199375443322,1,0.11265073332350128,0,0.9973983295285004,1,0.0013689140997403815,1,0.006479825521188087,1,0.02715149592051294,1,0.015605580281878223,1,0.029983555787618132,1,0.12002674505119681,0,0.6738775739682439,0,0.20650628136845262,0,0.05570348130525571,1,0.09253558655144811,1,0.0011501461822391451,1,0.07147213195765134,1,0.11993608406680023,0
4,46255,22,0.8113933628796887,0.9054821185371515,0.637599981012508,0,0.2279771858576206,0,0.1445356223896893,0,0.21854349981445928,0,0.03370770614582885,1,0.18664946970248553,0,0.4423197314864983,0,0.7925013647431856,0,0.11468513757848448,0,0.05663244883147289,1,0.06438211342791825,1,0.0007038806626686323,1,0.020668006175203812,1,0.1988833527244508,0,0.7578391601481999,0,0.12367024634395568,0,0.04385422527526028,1,0.09150036620172622,1,0.011833986628981538,1,0.021398693704438254,1,0.1979865897385511,0,0.5894225484675222,0,0.25696474795083607,0,0.08083824450707289,1,0.101315296831509,0,0.0006465361702047284,1,0.13946737149943633,0,0.25305148606889705,0
5,46255,23,0.835563722840774,0.9276268217078993,0.5775941466350123,0,0.3148843634175363,0,0.03177983125753314,1,0.4927754941156597,0,0.11123615722878336,0,0.41043409351061017,0,0.5580240208673662,0,0.7721566515497912,0,0.13566418063784802,0,0.03458473779991389,1,0.06630992424136167,1,0.0011772263125172794,1,0.038063222347356596,1,0.18969521468201517,0,0.9649294221297928,1,0.018268862403524988,1,0.026469793257777208,1,0.09252134477700713,1,0.021051169188270047,1,0.12176578465803478,0,0.3493291173117431,0,0.5191392623327556,0,0.32933963341123923,0,0.09704561770047371,1,0.13530436792373093,0,0.0005219535158865335,1,0.1497328356130061,0,0.2580999153408313,0
6,46259,21,0.8389502583281091,0.9290806248772836,0.6650573216347933,0,0.15172247427561014,0,0.2692619626926196,0,0.2692619626926196,0,0.0783267634280845,1,0.03248338672553619,1,0.8347888642225063,0,0.5688636685181754,0,0.2167051793184775,0,0.09859240469501496,1,0.09859240469501496,1,0.004404069254773574,1,0.0024395307108977526,1,0.16129988167656673,0,0.6479827682665932,0,0.14550937129684127,0,0.08270347608837525,1,0.08270347608837525,1,0.004812875314927162,1,0.005746707231377046,1,0.1477344034688325,0,0.44126717375362323,0,0.31809144303146636,0,0.1511726069995154,0,0.1511726069995154,0,0.00461850439825949,1,0.044816481140721565,1,0.14449948472119756,0
7,46259,21,0.8375018915238116,0.9196583323625258,0.7237163814180929,0,0.13814180929095354,0,0.23809523809523814,0,0.23809523809523814,0,0.02158545047421697,1,0.1318040435458787,0,0.43230955223207496,0,0.7488117446489458,0,0.12404678153775628,0,0.03389310499389475,1,0.06614598246171152,1,0.009944241423804845,1,0.0015925922609810739,1,0.08006469394496607,0,0.83802132610028,1,0.07149270479824854,1,0.05002494288440962,1,0.05002494288440962,1,0.00794570888590862,1,0.0784785907501484,1,0.18884570652220178,0,0.4966236081811131,0,0.2868756945342906,0,0.11494789101644753,0,0.11494789101644753,0,0.00988069358053699,1,0.08150774317511111,1,0.10213704436183724,0
8,46256,22,0.8275899342787962,0.9153276934144913,0.15680096618055187,0,0.5025711890688799,0,0.31047197640117985,0,0.31047197640117985,0,0.054095648968379706,1,0.20041337842916196,0,0.793318557886559,0,0.9266064528189151,1,0.03739856729123747,1,0.013835676252306306,1,0.020264468872387836,1,0.0026458207520453775,1,0.001601548592952251,1,0.0970737755157185,0,0.796839329261969,0,0.1166327172054592,0,0.062139650766766974,1,0.11637774675619544,0,0.01286317406571559,1,0.05504189036882401,1,0.14729842162223383,0,0.5511621617321858,0,0.2766739022442915,0,0.10477924190598475,0,0.12393464179222331,0,0.0030857509913726905,1,0.05608573135123551,1,0.1156678055027757,0
9,46255,23,0.8294887039239002,0.9185072603353968,0.7957990095486784,0,0.11822162605076514,0,0.1528571428571428,0,0.22413793103448276,0,0.02272214597748857,1,0.1212335277042822,0,0.5263332946438626,0,0.8199734729297427,1,0.09563164659976509,1,0.04791851262899738,1,0.06796203333733208,1,0.004831036798294816,1,0.013691134705758778,1,0.1528757609001733,0,0.7590106068469601,0,0.12087349476022136,0,0.09973971319516617,1,0.09973971319516617,1,0.001521501770503711,1,0.048292089920238146,1,0.14605271778910878,0,0.647853668694334,0,0.20683681640624074,0,0.07812347697344502,1,0.07826713003329192,1,0.0017884851911268984,1,0.08270205485583448,1,0.15396207483523794,0
10,46258,22,0.8419516624151498,0.9275551979224301,0.7715215728602155,0,0.12211882909974636,0,0.20898673100120624,0,0.20898673100120624,0,0.016483938044748667,1,0.19391518131530427,0,0.18284803906064565,0,0.8006253038623105,1,0.10894946976719366,0,0.018540446877726935,1,0.05282337433473669,1,0.006448515244055687,1,0.020343060116478462,1,0.1001084790300516,0,0.7120067239435509,0,0.14211706154433695,0,0.005195806519179724,1,0.04303106828221484,1,0.007369780084827637,1,0.06447916086024896,1,0.17926074030842631,0,0.5396506608922738,0,0.2910685093003441,0,0.08236976417332587,1,0.11761881365475078,0,0.005647380903984721,1,0.09404759672390461,1,0.14468889867270895,0
