Subset,N,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,10000,0.5912252082081223,0,0.20014292920800403,0,0.23809523809523803,0,0.23809523809523803,0,0.022994436856127363,1,0.07578229274803494,1,0.5590392948500997,0,0.7660066483595895,0,0.12141164471908089,0,0.02024532369814691,1,0.055701552738988774,1,0.0069891052331968045,1,0.004550649350649305,1,0.05164823274751951,0,0.8635214871560453,1,0.06273427235489604,1,0.009489312582096177,1,0.034941378103364895,1,0.007305375670980135,1,0.0142564270574278,1,0.07346336320471669,0,0.29578646141701204,0,0.4302809327488715,0,0.1531067702256742,0,0.1531067702256742,0,0.01874807001631191,1,0.07010868135049075,1,0.24460642237248154,0
2,10000,0.5734510326449034,0,0.2153186480578443,0,0.1319040326697295,0,0.1319040326697295,0,0.02507336871943975,1,0.1384615384615384,0,0.4784052569124585,0,0.7438049714644133,0,0.1336033377863764,0,0.052310619595261176,1,0.056724023380432254,1,0.005248321886631685,1,0.004461337942042842,1,0.07652757605452803,0,0.8358845216933306,1,0.07510177642703547,1,0.0032130615311344313,1,0.026345171260960074,1,0.0056908293167684115,1,0.004426276534710283,1,0.07456222350207331,0,0.2967351694390044,0,0.4243383658084203,0,0.1863152004671078,0,0.1863152004671078,0,0.018863303282982934,1,0.07037037037037042,1,0.32064488517684975,0
3,10000,0.6524231370505471,0,0.16823608542122082,0,0.09690574501707694,1,0.09690574501707694,1,0.014594813467498087,1,0.06600660066006592,1,0.45603270489712155,0,0.7828146768175808,0,0.11079306053911475,0,0.0356407637683851,1,0.0356407637683851,1,0.003656043785008528,1,0.010168113401112233,1,0.08067044607506835,0,0.8148453908630674,1,0.08578966316405284,1,0.013914765290257813,1,0.02291056642984507,1,0.0019259561341720965,1,0.011416490000666024,1,0.09201976261092903,0,0.2808590625966854,0,0.444906317264493,0,0.19575162741767427,0,0.19575162741767427,0,0.013731412728074231,1,0.09534738620438099,1,0.16608234416964862,0
4,10000,0.5845500848896434,0,0.20573398352110306,0,0.06457286432160803,1,0.06457286432160803,1,0.022152379722911994,1,0.08504398826979465,1,0.6065616313029651,0,0.7780112371976964,0,0.11244449852343141,0,0.03452769429436864,1,0.0561355446190573,1,0.006131433646932215,1,0.013348498848899437,1,0.058978060227650536,0,0.820778158178177,1,0.08193486626662944,1,0.022213580445978875,1,0.023760686626835753,1,0.000567551984016007,1,0.011625582735695916,1,0.08649603094166025,0,0.2843386926899911,0,0.43316773743712333,0,0.1789759463399161,0,0.1789759463399161,0,0.017885208431721665,1,0.06952468225825736,1,0.16267795783839198,0
5,10000,0.5951084608071904,0,0.1969480410290903,0,0.17500000000000004,0,0.17500000000000004,0,0.010613174205450951,1,0.258985200845666,0,0.612105255317616,0,0.7516449648440146,0,0.12973363488933304,0,0.0486883444964169,1,0.0486883444964169,1,0.0033545422628359217,1,0.013831905089130458,1,0.08545634958933424,0,0.8444635508326952,1,0.07147428444431642,1,0.027502708849225677,1,0.03686201722272227,1,0.0013467253100680893,1,0.015162491858942029,1,0.09164873574654614,0,0.27965340467297584,0,0.44742748535453397,0,0.22986735039490547,0,0.22986735039490547,0,0.012510070698810702,1,0.07863093782034747,1,0.28385515113819826,0
6,10000,0.31082423038728896,0,0.35009248360517914,0,0.25,0,0.25,0,0.005375803089854726,1,0.07861635220125784,1,0.431727245855582,0,0.7716556129103658,0,0.11912543404567683,0,0.022194093154922045,1,0.042219538209679955,1,0.005981765934676975,1,0.007371825553643685,1,0.053401311081784475,0,0.836618890618799,1,0.07629663289763261,1,0.033296096432029354,1,0.033296096432029354,1,0.002916573870094162,1,0.0039473860462624355,1,0.08838921494758023,0,0.29060835138238,0,0.4416529764778232,0,0.19884385947240601,0,0.19884385947240601,0,0.015730313195991386,1,0.09852216748768472,1,0.2225611415007659,0
7,10000,0.69551816210598,0,0.15248411530315537,0,0.09018346195353377,1,0.09018346195353377,1,0.016548441737956672,1,0.16450216450216448,0,0.5987557627429743,0,0.7732965046069268,0,0.11767050561539971,0,0.03273416551086461,1,0.050378550854640575,1,0.004578466476084071,1,0.0010222739361702704,1,0.0713586722418113,0,0.85676323848731,1,0.06613788154569278,1,0.007120710652782414,1,0.022770303857093624,1,0.004942255562737863,1,0.005395636797551173,1,0.053112274220467715,0,0.31465668289030324,0,0.4269011194029851,0,0.1440641417705638,0,0.1440641417705638,0,0.017046137530522046,1,0.08257481396314392,1,0.35390929839807805,0
8,10000,0.5499560737960227,0,0.236884143265512,0,0.0984848484848484,1,0.0984848484848484,1,0.012013282788557143,1,0.08166643674989649,1,0.6484970165904081,0,0.7529637879623378,0,0.13041988843606833,0,0.03620844428153536,1,0.05731178649180038,1,0.0071727511709751765,1,0.0016675394039870062,1,0.07574146262727355,0,0.8344512454287439,1,0.07712421034276895,1,0.018074051462077523,1,0.022423082398721858,1,0.004404099461100049,1,0.012009168436836193,1,0.06145934341266751,0,0.3062629909200307,0,0.42523002181823055,0,0.1564725037652135,0,0.1564725037652135,0,0.017807009009374063,1,0.04955167531854654,1,0.15649663436168748,0
9,10000,0.5567143665615653,0,0.23049436690768454,0,0.09693464430306531,1,0.09693464430306531,1,0.0200224232729568,1,0.04600181380367141,1,0.5978988398127343,0,0.7507127804433766,0,0.13040766871753862,0,0.03968253968253965,1,0.05115798502101725,1,0.006311707262515558,1,0.006707473495449201,1,0.04507923201083752,1,0.8334092547624257,1,0.07706628746081973,1,0.011090037899644134,1,0.03633126462187557,1,0.0035639580772837895,1,0.00861688859418841,1,0.08411932596564597,0,0.2947966558247491,0,0.4287649379825936,0,0.19826214012260523,0,0.19826214012260523,0,0.012640825416529146,1,0.06620651604909455,1,0.18085506577531196,0
10,10000,0.6428754813863927,0,0.17542458382377674,0,0.08227002065864619,1,0.08227002065864619,1,0.009717088453779749,1,0.043089430894308944,1,0.6750630495391587,0,0.7480649854621184,0,0.12857229443331097,0,0.041290868739561226,1,0.0500674090292471,1,0.002830803677364109,1,0.0034626532397258325,1,0.055638145735807554,0,0.8582030984745851,1,0.06325263587823504,1,0.005354690130226936,1,0.024208656868655795,1,0.005362291880473775,1,0.002028508453087885,1,0.07806088989639481,0,0.27921869765763907,0,0.4342259603890923,0,0.21009342429507194,0,0.21009342429507194,0,0.022057950610331112,1,0.09526120878725775,1,0.23878273518682036,0
11,10000,0.535729567821994,0,0.22805616277114515,0,0.125,0,0.125,0,0.0305491685513571,1,0.042326732673267364,1,0.45040125283796095,0,0.7328941471506212,0,0.14276843832892672,0,0.05583472256690625,1,0.05583472256690625,1,0.0005880408991200195,1,0.01034216980699576,1,0.05632800240279118,0,0.8142367403117746,1,0.08708857009308313,1,0.05930231661521779,1,0.05930231661521779,1,0.004867761057774735,1,0.017060585002916406,1,0.09984091864152184,0,0.280488633463587,0,0.44933778689648574,0,0.21063829787234045,0,0.21063829787234045,0,0.00916971771138144,1,0.06992024584766221,1,0.19684779442378303,0
