Attribute,Metric,P1_VFR,P1_MaxModel,P1_Margin,P2_MinN,P3_CV,P3_PctFair,Seed_VFR,Seed_Margin
RACE,DI,0.0333,Logistic Regression,2.2,"100,000",0.2818078956954853,0.0,0.0,28.65517571611335
RACE,SPD,0.0667,DecisionTree,1.7,"185,026",0.4175045201404769,0.0,0.0,28.075141664298005
RACE,EOPP,0.5,XGBoost,0.3,"185,026",0.6474280832745906,25.0,0.0,7.228693374683686
RACE,EOD,0.4333,LightGBM,0.5,"185,026",0.5287898244998105,10.0,0.0,7.228693374683686
RACE,TI,0.0667,DecisionTree,2.2,"185,026",0.6032820049953201,95.0,0.0,468.60516091836706
RACE,PP,0.5,GradientBoosting,0.2,"185,026",0.5050253995848926,30.0,0.06666666666666667,1.4342613357707679
RACE,CAL,0.0,Logistic Regression,3.2,"185,026",0.2999833425854775,0.0,0.0,2.8927022767965025
SEX,DI,0.0333,XGBoost,2.6,"5,000",0.1243266221724518,35.0,0.0,80.12241990795019
SEX,SPD,0.0333,XGBoost,2.6,"50,000",0.38780780611133453,30.0,0.0,89.56828099097096
SEX,EOPP,0.2,Logistic Regression,0.9,"185,026",0.5474560596639311,90.0,0.0,93.10020556695622
SEX,EOD,0.3333,AdaBoost,0.2,"100,000",0.3654944282367091,85.0,0.0,133.89245229453044
SEX,TI,0.0,Logistic Regression,31.9,"185,026",0.7062840021104936,100.0,0.0,1680.366203788791
SEX,PP,0.0,Logistic Regression,6.8,"185,026",1.12477956034782,100.0,0.0,283.96795108966427
SEX,CAL,0.2,XGBoost,0.9,"185,026",0.3869850372908542,5.0,0.0,2.984899484792104
ETHNICITY,DI,0.2667,AdaBoost,0.7,"5,000",0.12264833906033946,55.00000000000001,0.0,22.775222921100056
ETHNICITY,SPD,0.3333,AdaBoost,0.4,"50,000",0.5807797414619398,55.00000000000001,0.0,41.394874826324916
ETHNICITY,EOPP,0.0333,Logistic Regression,2.3,"185,026",0.7561503146068644,95.0,0.0,98.25786004502184
ETHNICITY,EOD,0.0333,Logistic Regression,2.1,"185,026",0.4913816888208232,90.0,0.0,155.14994647472545
ETHNICITY,TI,0.0,Logistic Regression,49.7,"185,026",0.8703050874784017,100.0,0.0,1484.7304038351397
ETHNICITY,PP,0.0,Logistic Regression,6.1,"185,026",0.9769460847753467,95.0,0.0,173.70973143011977
ETHNICITY,CAL,0.1667,DNN (PyTorch),0.8,"185,026",0.42394738525351877,5.0,0.0,6.6273981657424255
AGE_GROUP,DI,0.0,Logistic Regression,47.3,"10,000",0.2748989951501378,0.0,0.0,645.2494219908269
AGE_GROUP,SPD,0.0,Logistic Regression,37.2,"5,000",0.12301168182494218,0.0,0.0,559.179201495749
AGE_GROUP,EOPP,0.0,Logistic Regression,11.9,"50,000",0.3367618259911395,0.0,0.0,78.97099075700919
AGE_GROUP,EOD,0.0,Logistic Regression,11.9,"50,000",0.29035217294141,0.0,0.0,78.97099075700919
AGE_GROUP,TI,0.0,Logistic Regression,17.6,"100,000",0.5160393639440148,100.0,0.0,921.9400999401345
AGE_GROUP,PP,0.5,DNN (PyTorch),0.0,"185,026",0.5542827988380293,35.0,0.0,12.648474620865617
AGE_GROUP,CAL,0.0,Logistic Regression,4.5,"185,026",0.3444270672598664,0.0,0.0,3.3665574577257114
