Metric,Attribute,Threshold,Mean,SD,VFR (%),Margin (σ),Verdict,% Subsets Fair
DI,Race,0.8,0.6058,0.1029,0.0,1.6,UNFAIR,0.0
DI,Sex,0.8,0.758,0.0159,3.3,2.8,UNFAIR,3.3
DI,Ethnicity,0.8,0.8391,0.0236,6.7,1.5,FAIR,93.3
DI,Age Group,0.8,0.2919,0.0141,0.0,46.4,UNFAIR,0.0
SPD,Race,0.1,0.1986,0.0529,0.0,1.6,UNFAIR,0.0
SPD,Sex,0.1,0.1263,0.0098,3.3,2.8,UNFAIR,3.3
SPD,Ethnicity,0.1,0.0744,0.0115,3.3,2.2,FAIR,96.7
SPD,Age Group,0.1,0.4359,0.0099,0.0,38.7,UNFAIR,0.0
EOPP,Race,0.1,0.141,0.0864,46.7,0.5,UNFAIR,46.7
EOPP,Sex,0.1,0.0375,0.009,0.0,6.7,FAIR,100.0
EOPP,Ethnicity,0.1,0.0195,0.0124,0.0,6.7,FAIR,100.0
EOPP,Age Group,0.1,0.1849,0.0264,0.0,4.3,UNFAIR,0.0
EOD,Race,0.1,0.1469,0.0828,33.3,0.7,UNFAIR,33.3
EOD,Sex,0.1,0.0514,0.0071,0.0,6.8,FAIR,100.0
EOD,Ethnicity,0.1,0.0291,0.0099,0.0,9.7,FAIR,100.0
EOD,Age Group,0.1,0.1854,0.0255,0.0,4.3,UNFAIR,0.0
TI,Race,0.1,0.0247,0.0122,0.0,5.4,FAIR,100.0
TI,Sex,0.1,0.005,0.0022,0.0,42.2,FAIR,100.0
TI,Ethnicity,0.1,0.0035,0.0029,0.0,52.8,FAIR,100.0
TI,Age Group,0.1,0.0188,0.0042,0.0,17.1,FAIR,100.0
PP,Race,0.1,0.1126,0.0686,46.7,0.4,UNFAIR,46.7
PP,Sex,0.1,0.0069,0.0051,0.0,11.7,FAIR,100.0
PP,Ethnicity,0.1,0.0098,0.0073,0.0,12.8,FAIR,100.0
PP,Age Group,0.1,0.0701,0.0261,26.7,0.6,FAIR,73.3
CAL,Race,0.05,0.5277,0.1351,0.0,3.6,UNFAIR,0.0
CAL,Sex,0.05,0.0684,0.0126,3.3,1.3,UNFAIR,3.3
CAL,Ethnicity,0.05,0.0788,0.0179,10.0,1.2,UNFAIR,10.0
CAL,Age Group,0.05,0.2323,0.0586,0.0,2.5,UNFAIR,0.0
