Model,DI(Race),SPD(Race),EOPP(Race),EOD(Race),TI(Race),PP(Race),CAL(Race),DI(Sex),SPD(Sex),EOPP(Sex),EOD(Sex),TI(Sex),PP(Sex),CAL(Sex),DI(Ethnicity),SPD(Ethnicity),EOPP(Ethnicity),EOD(Ethnicity),TI(Ethnicity),PP(Ethnicity),CAL(Ethnicity),DI(Age),SPD(Age),EOPP(Age),EOD(Age),TI(Age),PP(Age),CAL(Age),Total
LGB-XGB,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
LightGBM,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,17/28
AFCE-LightGBM,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
XGBoost,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,19/28
AFCE-XGBoost,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,19/28
Stacking Ensemble,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,16/28
GradientBoosting,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
HistGradientBoosting,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
Random Forest,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
CatBoost,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,UNFAIR,18/28
Fair (Fair),FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,22/28
DecisionTree,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,UNFAIR,FAIR,UNFAIR,UNFAIR,16/28
Fair (Fair),FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,FAIR,FAIR,FAIR,UNFAIR,UNFAIR,22/28
