Attribute,Metric,Subset_1,Subset_2,Subset_3,Subset_4,Subset_5,Subset_6,Subset_7,Subset_8,Subset_9,Subset_10,Subset_11,Subset_12,Subset_13,Subset_14,Subset_15,Subset_16,Subset_17,Subset_18,Subset_19,Subset_20,Subset_21,Subset_22,Subset_23,Subset_24,Subset_25,Subset_26,Subset_27,Subset_28,Subset_29,Subset_30,Mean,SD,Fair_Count
Race,DI,0.5912,0.5744,0.6546,0.5827,0.5941,0.3103,0.6944,0.5491,0.5559,0.6408,0.5357,0.772,0.6908,0.4806,0.7365,0.5361,0.6513,0.7499,0.7839,0.6557,0.5846,0.6672,0.6987,0.528,0.4562,0.6336,0.5357,0.4714,0.6286,0.6306,0.6058,0.1029,0
Race,SPD,0.2001,0.2145,0.1666,0.2073,0.1977,0.3509,0.1533,0.2377,0.2313,0.177,0.2281,0.1164,0.1531,0.256,0.1387,0.2505,0.169,0.1262,0.1122,0.1658,0.2057,0.1707,0.1475,0.2352,0.2823,0.1978,0.2281,0.2656,0.1866,0.185,0.1986,0.0529,0
Race,EOPP,0.25,0.1304,0.0969,0.0646,0.175,0.25,0.0902,0.0985,0.0984,0.0854,0.125,0.1162,0.0623,0.4091,0.0945,0.0498,0.0711,0.0974,0.0378,0.0791,0.2318,0.2367,0.0882,0.3069,0.2,0.0893,0.1688,0.213,0.0779,0.1353,0.141,0.0864,16
Race,EOD,0.25,0.1304,0.0969,0.0646,0.175,0.25,0.0902,0.0985,0.0984,0.0854,0.125,0.1162,0.0623,0.4091,0.1372,0.1413,0.0711,0.0974,0.0679,0.0791,0.2318,0.2367,0.0882,0.3069,0.2,0.1014,0.1688,0.213,0.0779,0.1353,0.1469,0.0828,13
Race,TI,0.0233,0.0249,0.0143,0.0223,0.0107,0.0053,0.0166,0.012,0.0202,0.0094,0.0305,0.0185,0.0183,0.0237,0.0485,0.02,0.0329,0.0434,0.032,0.0217,0.0217,0.0461,0.0153,0.0564,0.0193,0.0381,0.0295,0.0178,0.0327,0.0153,0.0247,0.0122,30
Race,PP,0.0758,0.1385,0.0673,0.0854,0.259,0.0772,0.1631,0.0818,0.0452,0.0435,0.0434,0.0496,0.0873,0.2194,0.1113,0.1298,0.0595,0.1638,0.0227,0.1356,0.2556,0.0643,0.1459,0.2125,0.2441,0.0596,0.0829,0.1353,0.0554,0.0626,0.1126,0.0686,17
Race,CAL,0.5556,0.4768,0.4516,0.452,0.6107,0.4354,0.3721,0.6482,0.5942,0.6778,0.453,0.4633,0.4748,0.5195,0.5957,0.428,0.4319,0.7626,0.4781,0.4056,0.7038,0.3844,0.3583,0.7966,0.8016,0.5574,0.2656,0.6226,0.6218,0.4322,0.5277,0.1351,0
Sex,DI,0.7671,0.7417,0.7812,0.7771,0.7515,0.7698,0.7735,0.7548,0.7494,0.7469,0.7323,0.7491,0.7542,0.763,0.7524,0.7727,0.7467,0.7291,0.7627,0.7701,0.767,0.7283,0.7793,0.7533,0.7608,0.7473,0.7499,0.788,0.7803,0.7413,0.758,0.0159,0
Sex,SPD,0.1207,0.1349,0.1117,0.1129,0.1297,0.1205,0.1176,0.1294,0.1312,0.1294,0.1431,0.1312,0.1285,0.1232,0.132,0.1185,0.1306,0.1444,0.1242,0.117,0.1196,0.1443,0.1143,0.1286,0.1249,0.1359,0.1329,0.1093,0.1117,0.1368,0.1263,0.0098,0
Sex,EOPP,0.0192,0.0528,0.0368,0.0364,0.048,0.0241,0.0342,0.0358,0.0393,0.0423,0.0552,0.0429,0.0528,0.0356,0.0378,0.0379,0.0314,0.0496,0.0263,0.0299,0.0395,0.0416,0.0293,0.039,0.0312,0.0488,0.0405,0.0261,0.0265,0.0343,0.0375,0.009,30
Sex,EOD,0.0554,0.0587,0.0368,0.0553,0.048,0.0428,0.049,0.0557,0.0528,0.0503,0.0552,0.0594,0.0528,0.0483,0.0515,0.0431,0.0498,0.0676,0.0477,0.0382,0.0481,0.053,0.0457,0.0494,0.0546,0.0488,0.0554,0.0456,0.0523,0.0698,0.0514,0.0071,30
Sex,TI,0.0069,0.0053,0.0037,0.0062,0.0034,0.006,0.0046,0.0072,0.0063,0.0028,0.0006,0.0049,0.0018,0.0068,0.0066,0.0015,0.0041,0.004,0.0054,0.0053,0.0063,0.0069,0.007,0.0004,0.0058,0.0038,0.0032,0.0048,0.0075,0.0097,0.005,0.0022,30
Sex,PP,0.0043,0.0064,0.0095,0.0125,0.0131,0.0071,0.0006,0.0001,0.0048,0.003,0.009,0.0054,0.0112,0.0093,0.0028,0.0074,0.0036,0.0091,0.0073,0.0139,0.0015,0.0063,0.0021,0.0066,0.0029,0.0222,0.0022,0.0011,0.0051,0.0172,0.0069,0.0051,30
Sex,CAL,0.055,0.0793,0.0825,0.0591,0.0781,0.0598,0.073,0.0764,0.0514,0.0573,0.0505,0.0565,0.0878,0.0815,0.0978,0.0525,0.069,0.0681,0.0586,0.0827,0.0697,0.0808,0.0772,0.0599,0.0511,0.0668,0.0615,0.0823,0.0603,0.0669,0.0684,0.0126,0
Ethnicity,DI,0.8659,0.8338,0.8145,0.8204,0.8457,0.8363,0.856,0.8366,0.8349,0.8595,0.8157,0.8699,0.7988,0.8721,0.8157,0.815,0.8276,0.8049,0.8444,0.8608,0.8641,0.8718,0.8566,0.8023,0.8171,0.8498,0.8327,0.886,0.8444,0.8195,0.8391,0.0236,29
Ethnicity,SPD,0.0616,0.0761,0.0859,0.082,0.0708,0.0766,0.0665,0.0762,0.0763,0.0627,0.0863,0.0593,0.0937,0.0584,0.0873,0.087,0.0781,0.0907,0.0724,0.0629,0.0618,0.0585,0.0665,0.0918,0.0852,0.0707,0.0784,0.0526,0.071,0.0841,0.0744,0.0115,30
Ethnicity,EOPP,0.0101,0.0035,0.0143,0.0222,0.0278,0.0335,0.0062,0.0184,0.0102,0.0045,0.0584,0.0127,0.0488,0.0231,0.0222,0.0193,0.0165,0.0351,0.0182,0.0216,0.0262,0.0203,0.0015,0.0184,0.0253,0.0185,0.0078,0.0139,0.0107,0.0169,0.0195,0.0124,30
Ethnicity,EOD,0.0335,0.0278,0.0229,0.0239,0.0355,0.0335,0.0242,0.0206,0.0356,0.0223,0.0584,0.0162,0.0488,0.0231,0.0312,0.0252,0.0165,0.0351,0.0402,0.0216,0.0262,0.0203,0.026,0.0337,0.0304,0.0222,0.0475,0.0165,0.0273,0.0281,0.0291,0.0099,30
Ethnicity,TI,0.0073,0.0057,0.0019,0.0006,0.0013,0.0029,0.005,0.0044,0.0036,0.0054,0.0049,0.0016,0.0009,0.0006,0.0029,0.0019,0.0032,0.0012,0.0124,0.0015,0.0017,0.0013,0.0064,0.0053,0.0006,0.0026,0.0105,0.0013,0.0044,0.0015,0.0035,0.0029,30
Ethnicity,PP,0.0124,0.0025,0.0115,0.0113,0.0135,0.0042,0.0037,0.0145,0.008,0.0043,0.0178,0.0109,0.0092,0.0111,0.001,0.0124,0.0263,0.0262,0.0153,0.0027,0.0096,0.0153,0.0003,0.0029,0.0018,0.0087,0.0253,0.0058,0.0017,0.0046,0.0098,0.0073,30
Ethnicity,CAL,0.0717,0.0799,0.0792,0.0852,0.0973,0.0864,0.0602,0.0511,0.0958,0.0752,0.1145,0.0706,0.0974,0.0951,0.0796,0.0604,0.1268,0.055,0.0648,0.0614,0.0572,0.0702,0.0809,0.0944,0.0794,0.0654,0.0692,0.0607,0.0971,0.0827,0.0788,0.0179,0
Age Group,DI,0.2967,0.2957,0.2804,0.2847,0.28,0.2903,0.3145,0.3077,0.2942,0.28,0.2791,0.2948,0.2838,0.2874,0.2999,0.3127,0.2687,0.2901,0.2957,0.2935,0.2643,0.3064,0.3214,0.2755,0.2877,0.3199,0.2793,0.2844,0.2951,0.2945,0.2919,0.0141,0
Age Group,SPD,0.4294,0.4255,0.4447,0.4325,0.4467,0.4424,0.4271,0.4243,0.429,0.4338,0.4502,0.4259,0.4405,0.4403,0.4384,0.4214,0.4397,0.4352,0.4327,0.4286,0.4508,0.4214,0.4245,0.4516,0.4442,0.4228,0.4534,0.4479,0.4321,0.4385,0.4359,0.0099,0
Age Group,EOPP,0.1523,0.1867,0.1969,0.1817,0.2295,0.1979,0.1437,0.154,0.2103,0.2091,0.217,0.2089,0.1955,0.199,0.1562,0.1923,0.2244,0.1943,0.157,0.1904,0.2124,0.1422,0.1652,0.1942,0.1801,0.1779,0.2103,0.1858,0.1522,0.1309,0.1849,0.0264,0
Age Group,EOD,0.1523,0.1867,0.1969,0.1817,0.2295,0.1979,0.1437,0.154,0.2103,0.2091,0.217,0.2089,0.1955,0.199,0.1562,0.1923,0.2244,0.1943,0.157,0.1904,0.2124,0.1422,0.1652,0.1942,0.1801,0.1779,0.2103,0.1858,0.1522,0.1461,0.1854,0.0255,0
