Model,Accuracy,AUC,F1,Precision,Recall,Train_Time_s
LGB-XGB Blend,0.8776766508490699,0.9527140293046817,0.862706322679268,0.8724495429728237,0.8531783168958318,160.60480523109436
LightGBM,0.8773956092657248,0.9525878315709231,0.8623775290441957,0.8722036103032311,0.8527703789024068,150.56271886825562
XGBoost,0.87583907126566,0.9514422632700821,0.860800911310797,0.8695205102153236,0.852254457322487,10.042086362838745
Stacking Ensemble,0.871504545307146,0.9483358391444249,0.8558033466966685,0.8653183373603326,0.8464953327094281,29.62392830848694
GradientBoosting,0.8662674434944279,0.9440019570998458,0.8491973525432406,0.8629236028537456,0.8359009430566554,579.3981959819794
HistGradientBoosting,0.8620626290359192,0.9414919214537455,0.8445978859174826,0.857441337190614,0.8321335157056128,4.772116661071777
Random Forest,0.856593127452358,0.9369992898372916,0.8383728863115832,0.8514637103758878,0.8256784968684759,18.653116703033447
CatBoost,0.8541015857230876,0.9350349070112075,0.8349767396367593,0.8511534578810275,0.8194034506754974,5.963337182998657
DNN (PyTorch),0.8374931090765622,0.9207003450896392,0.8165645818590009,0.8306317487898721,0.8029659491757253,241.08081769943237
DecisionTree,0.839552279139148,0.916242846783591,0.8185513198990287,0.8342615087522581,0.8034218798742591,4.660881519317627
AdaBoost,0.8230302768259596,0.9066803021786479,0.7985306966270013,0.8195377620611265,0.7785736568041658,259.64508533477783
Logistic Regression,0.8020278231167511,0.8800758123081579,0.7774821402536813,0.7874123292727944,0.7677992945072349,0.492476224899292
