Test_Num,Subset_Size,Repeat,Accuracy,AUC,DI_RACE,DI_SEX,DI_ETHNICITY,DI_AGE_GROUP
1,1000,1,0.891,0.9621920135938828,0.5483870967741935,0.6878048780487804,0.8053477247638906,0.5479240594497415
2,1000,2,0.911,0.9688056498687728,0.0,0.7844066536567234,0.8725384259157166,0.5637771243532959
3,1000,3,0.879,0.9566750094060297,0.5901298701298701,0.7591018037404432,0.8419162086345702,0.5883886278972503
4,2000,1,0.8755,0.9501270040695928,0.0,0.7383796182518227,0.9058818328507328,0.5389964674767427
5,2000,2,0.8935,0.9592739371997522,0.5782258064516129,0.7102761501059718,0.7568635875402793,0.5492563196158207
6,2000,3,0.887,0.9552142369625117,0.7906976744186046,0.7183272326129468,0.8332123927309439,0.5163175467324501
7,5000,1,0.8922,0.9581591945288754,0.47462919594067127,0.7561906926264838,0.8257361823882299,0.546149866001539
8,5000,2,0.8824,0.9556702084449032,0.6267092651757189,0.7482768589382712,0.8457983995556251,0.5678778069103382
9,10000,1,0.884,0.9553020645676098,0.64857058213598,0.7420584805567915,0.8159212982309976,0.566426789356031
10,10000,2,0.8818,0.9541169798444371,0.5684444444444444,0.761245443519691,0.8323307706144205,0.5667057820991017
11,20000,1,0.87955,0.9553864099203548,0.4587782251006477,0.7663888230946212,0.8305335689103441,0.5732910785897029
12,20000,2,0.88015,0.9536065679784783,0.5273333948801815,0.7433567106407927,0.8287308520534453,0.5553650379031311
13,50000,1,0.87794,0.9546427953723724,0.6998374841404479,0.7732377287354048,0.8144651630321653,0.5614433531246317
14,50000,2,0.88136,0.9545044242900357,0.6989131243951462,0.7623574907162283,0.8123630025103449,0.5511426058176162
15,100000,1,0.87809,0.9531511649109257,0.6615591981238007,0.7602379401311414,0.8276369656274837,0.561117580243735
16,100000,2,0.87792,0.9531312921336814,0.5900766462316771,0.7609953691446039,0.8295586866284276,0.5619812170838998
17,150000,1,0.87892,0.95371663175534,0.660230735526053,0.7614185152472875,0.8259113208067966,0.5614478386337666
18,150000,2,0.8786466666666667,0.9536629512293937,0.6671280451490209,0.7596853372698281,0.8265473682964896,0.5596034995787488
19,185026,1,0.8786008452866084,0.9535924165215321,0.6432150938915209,0.7606201768696805,0.8262382436698908,0.5598299029936685
20,185026,2,0.8786008452866084,0.9535924165215321,0.6432150938915209,0.7606201768696805,0.8262382436698908,0.5598299029936685
