Metric,Attribute,Mean,SD,Min,Max,Range,CV%
DI,RACE,0.6312798921046177,0.02726581117184159,0.5896993662673001,0.68844565898901,0.09874629272170987,4.319131895828391
DI,ETHNICITY,0.8247588160310911,0.004851297622017169,0.8129915775889975,0.8345644514386937,0.021572873849696195,0.5882080346061179
DI,SEX,0.752311349798269,0.0035879254565487455,0.7464398955037894,0.7587543175750914,0.012314422071301956,0.4769202880577093
DI,AGE_GROUP,0.2322198865059987,0.0024526801187019854,0.22708620658914688,0.23649932288919304,0.009413116300046154,1.0561886648061158
WTPR,RACE,0.7767767572258539,0.024362377110815226,0.7226890756302521,0.8165137614678899,0.09382468583763781,3.136342183798334
WTPR,ETHNICITY,0.8121670424962513,0.0030863814302018126,0.805234872611465,0.8172969684680118,0.012062095856546828,0.38001805893472446
WTPR,SEX,0.8173092574747057,0.001441012541704285,0.8148424853691943,0.8203714451538016,0.0055289597846072125,0.17631178510771753
WTPR,AGE_GROUP,0.6430208491663971,0.0032001840496030123,0.637345410207281,0.6484677703416696,0.01112236013438861,0.49767967146814673
SPD,RACE,0.18815605470013488,0.013593489058386459,0.15878858586452382,0.20778067853921112,0.04899209267468729,7.224582318145681
SPD,ETHNICITY,0.08397385127444654,0.002428601152437272,0.07935620346973554,0.09022672112050739,0.01087051765077185,2.892092140087782
SPD,SEX,0.1340273468495862,0.0023528368295924465,0.12988848830760819,0.13835982306805605,0.008471334760447868,1.7554901181718878
SPD,AGE_GROUP,0.6109850683159918,0.0059255686343389685,0.599284457527798,0.621971391765407,0.022686934237608924,0.9698385347895865
EOD,RACE,0.08859388928474451,0.02610958859926806,0.05261714855433697,0.13214963404716729,0.07953248549283032,29.471094236929517
EOD,ETHNICITY,0.032557643533832045,0.002973880327522654,0.027451314563933238,0.04003042314888028,0.01257910858494704,9.134200159272483
EOD,SEX,0.04615809140703654,0.0022054193603152487,0.04143036950741297,0.05060907074180754,0.00917870123439457,4.77796913409432
EOD,AGE_GROUP,0.29023373371697764,0.0050819169001044585,0.2823750685503743,0.30087113238183405,0.01849606383145974,1.7509738909468413
PPV_Ratio,RACE,0.9019774292474201,0.02770978465848581,0.8602714162218533,0.9432729777602835,0.08300156153843019,3.0721150840333036
PPV_Ratio,ETHNICITY,0.9882319236064658,0.0038484033618782646,0.9830224716757143,0.9976804962699903,0.014658024594276009,0.38942309694204713
PPV_Ratio,SEX,0.9926198395162622,0.0029192517727087935,0.9868744617392865,0.9967658046295907,0.009891342890304244,0.29409565036816565
PPV_Ratio,AGE_GROUP,0.8911825224384543,0.00668880025189554,0.8758831924742793,0.8991177803959223,0.023234587921643013,0.7505533472081163
