Metric,Mean,CI_Low,CI_High,Width
AUC,0.9536155451020738,0.9528248635184025,0.9544942945084174,0.0016694309900149307
F1,0.8642353034477169,0.8624537788674275,0.8659559944330616,0.003502215565634126
Accuracy,0.8789347875433723,0.877400473446975,0.8804736901840823,0.003073216737107254
RACE_DI,0.6361531939267598,0.5694870684206471,0.7041617431240029,0.1346746747033558
RACE_WTPR,0.8177354699862681,0.7730728924080111,0.8435524238477896,0.07047953143977848
ETHNICITY_DI,0.8252847199099638,0.8149576549372637,0.8353138063909441,0.020356151453680416
ETHNICITY_WTPR,0.8372229414715981,0.8321600124383127,0.8425111884924539,0.010351176054141153
SEX_DI,0.7609312658734225,0.7532596560520263,0.7681623920996583,0.014902736047632037
SEX_WTPR,0.8409789037286337,0.8377363199678509,0.8440735458766778,0.0063372259088269045
AGE_GROUP_DI,0.25086024101447085,0.2443690409489125,0.2573384716416979,0.012969430692785361
AGE_GROUP_WTPR,0.7262306894388566,0.7180106539167092,0.7337097597075053,0.015699105790796142
