Attribute,Subgroup,N,Base_Rate,DP,TPR,FPR,PPV,ECE
RACE,Asian/PI,120761,0.45231490299020377,0.4839724745571832,0.8043279264765113,0.21940156337410605,0.7517152878774916,0.035081843434198005
RACE,Black,3291,0.40686721361288364,0.4646004254026132,0.8528752800597461,0.19825819672131148,0.7468933943754088,0.06070164355202547
RACE,Hispanic,23161,0.5229912352661802,0.5547256163378093,0.8267150994798976,0.25651701665459814,0.7794209215442092,0.03138658426055625
RACE,Other,37101,0.40540686234872375,0.41502924449475753,0.7818629080513264,0.16491387126019946,0.7637355500714379,0.028817722660629562
RACE,White,712,0.324438202247191,0.42696629213483145,0.7316017316017316,0.2806652806652807,0.555921052631579,0.1269726730932914
ETHNICITY,Hispanic,134352,0.47003394069310467,0.5048380373943074,0.8134758511480602,0.2311030589028398,0.7573939197357945,0.03309870794204047
ETHNICITY,Non-Hispanic,50674,0.3985475786399337,0.4084540395469077,0.7748068924539513,0.16569328696108668,0.7560150739201855,0.03144516801491533
SEX,Female,67853,0.5194611881567506,0.543940577424727,0.8081822566459557,0.25829601913758204,0.771810989487374,0.03410887770096595
SEX,Male,117173,0.4104955919879153,0.4405110392325877,0.8011185263726897,0.18940556504618236,0.7465320830750155,0.03751361076416041
AGE_GROUP,Adult (18-44),14033,0.6179719233235944,0.6903726929380746,0.8777675276752768,0.387241186345831,0.7857142857142857,0.02887220223489152
AGE_GROUP,Elderly (65+),10675,0.7207494145199064,0.7836065573770492,0.9031713023134911,0.4750083864475008,0.8307232516437537,0.024152920164118335
AGE_GROUP,Middle-aged (45-64),11852,0.6694228822139723,0.7347283158960513,0.891227627930426,0.4178152118427769,0.812011943040882,0.020392954138560633
AGE_GROUP,Pediatric (0-17),148466,0.3977072191612894,0.4160077054679186,0.7686718829387258,0.18313576381122793,0.7348574389197416,0.038984344822002436
