Attribute,Sample_Size,TPR_Ratio_Mean,TPR_Ratio_Std,TPR_Ratio_CI_Lower,TPR_Ratio_CI_Upper
RACE,10000,0.5263942863877961,0.25008443766607424,0.0,0.8195543424317616
RACE,50000,0.7213288062638721,0.08366488984285371,0.5642806267806267,0.8643883629097009
RACE,100000,0.7555968670052987,0.04470973832686022,0.6719421191550952,0.8370537893512972
RACE,500000,0.7794604530990189,0.014536189204198037,0.7509908369722167,0.8003632586256622
RACE,925128,0.7828840785246669,0.012399035219560973,0.7640323101061227,0.8057902006875894
ETHNICITY,10000,0.8897889368524549,0.050692801164888675,0.8164969948522625,0.9733126261911411
ETHNICITY,50000,0.894728532382711,0.023690007556674757,0.8577231777494225,0.9315063934249236
ETHNICITY,100000,0.8966785281404183,0.013392700186974095,0.8755127603122405,0.9219803435838649
ETHNICITY,500000,0.893952836119232,0.005489147375794877,0.8830183932793483,0.9012492435244357
ETHNICITY,925128,0.8929986279522298,0.004984092242279383,0.8853247556540679,0.9028057035239399
SEX,10000,0.9153065435733605,0.044491535544307625,0.8291577303187065,0.995455762639246
SEX,50000,0.9249075659392951,0.022388258367375975,0.8947334741806714,0.9694570080104061
SEX,100000,0.916094176351429,0.016292365475133148,0.889549848782142,0.9477853452333185
SEX,500000,0.9220955403366788,0.006253633820774252,0.9119003860353009,0.9343627489281499
SEX,925128,0.9202115235465776,0.00486279758134789,0.9109084061505064,0.9284267595468654
AGE_GROUP,10000,0.6149873876440057,0.02133317136207695,0.5749740815575692,0.6535702786488489
AGE_GROUP,50000,0.6201760910684597,0.009759945923871374,0.6033262773921912,0.6372425175709461
AGE_GROUP,100000,0.6223392447040957,0.00888113788013382,0.6061503559568784,0.6350615626543669
AGE_GROUP,500000,0.6207903096681545,0.002951045104114439,0.6157997502165284,0.6260785154632308
AGE_GROUP,925128,0.6206021055250857,0.0019259734308016158,0.6176528512903806,0.6240814691565705
