Model,Attribute,DI,WTPR,SPD,EOD,PPV Ratio
Stacking Ensemble,RACE,0.635,0.823,0.186,0.044,0.927
Stacking Ensemble,SEX,0.761,0.841,0.125,0.034,0.998
Stacking Ensemble,ETHNICITY,0.825,0.837,0.081,0.024,0.999
Stacking Ensemble,AGE_GROUP,0.251,0.726,0.582,0.212,0.925
LGB XGB Blend,RACE,0.633,0.823,0.186,0.043,0.931
LGB XGB Blend,SEX,0.762,0.841,0.124,0.033,0.998
LGB XGB Blend,ETHNICITY,0.827,0.838,0.080,0.022,0.999
LGB XGB Blend,AGE_GROUP,0.251,0.727,0.580,0.212,0.924
LightGBM GPU,RACE,0.642,0.827,0.182,0.038,0.923
LightGBM GPU,SEX,0.762,0.840,0.124,0.034,0.997
LightGBM GPU,ETHNICITY,0.827,0.838,0.080,0.022,0.999
LightGBM GPU,AGE_GROUP,0.252,0.725,0.581,0.212,0.923
XGBoost GPU,RACE,0.637,0.823,0.184,0.042,0.927
XGBoost GPU,SEX,0.762,0.840,0.123,0.032,0.998
XGBoost GPU,ETHNICITY,0.829,0.838,0.079,0.021,0.998
XGBoost GPU,AGE_GROUP,0.253,0.727,0.576,0.208,0.920
Gradient Boosting,RACE,0.608,0.779,0.197,0.070,0.936
Gradient Boosting,SEX,0.753,0.818,0.128,0.042,0.997
Gradient Boosting,ETHNICITY,0.825,0.817,0.080,0.026,0.996
Gradient Boosting,AGE_GROUP,0.233,0.673,0.599,0.258,0.930
Random Forest,RACE,0.620,0.792,0.197,0.088,0.924
Random Forest,SEX,0.758,0.835,0.130,0.038,0.997
Random Forest,ETHNICITY,0.820,0.827,0.086,0.032,0.996
Random Forest,AGE_GROUP,0.246,0.696,0.598,0.237,0.909
PyTorch DNN,RACE,0.605,0.766,0.206,0.092,0.919
PyTorch DNN,SEX,0.753,0.823,0.133,0.044,0.996
PyTorch DNN,ETHNICITY,0.813,0.812,0.090,0.038,0.996
PyTorch DNN,AGE_GROUP,0.238,0.672,0.617,0.272,0.899
Logistic Regression,RACE,0.587,0.667,0.218,0.175,0.855
Logistic Regression,SEX,0.695,0.782,0.178,0.078,0.967
Logistic Regression,ETHNICITY,0.782,0.775,0.109,0.053,0.986
Logistic Regression,AGE_GROUP,0.216,0.547,0.610,0.356,0.842
