Criterion,threshold,value,f1,ratio
max_accuracy,0.48000000000000004,0.7368856268848702,,
max_f1,0.35000000000000003,0.7315232624397456,,
RACE_tpr_ratio_fair,0.35000000000000003,,0.7315232624397456,0.8506830736435035
RACE_ppv_ratio_fair,0.62,,0.6223409246760746,0.8070114073233755
ETHNICITY_tpr_ratio_fair,0.35000000000000003,,0.7315232624397456,0.9283416392557761
ETHNICITY_ppv_ratio_fair,0.35000000000000003,,0.7315232624397456,0.9526115833661496
SEX_tpr_ratio_fair,0.35000000000000003,,0.7315232624397456,0.9382527737214104
SEX_ppv_ratio_fair,0.35000000000000003,,0.7315232624397456,0.9458725360641245
AGE_GROUP_tpr_ratio_fair,0.35000000000000003,,0.7315232624397456,0.8213768864998966
AGE_GROUP_ppv_ratio_fair,0.35000000000000003,,0.7315232624397456,0.9015077669319229
